frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,anchor_score,source,stable_local_x,stable_local_y,stable_local_z,visibility,anchor_update,keep_previous
118,4.875000,1,palm,left_hand,handle_loop,382,606.088,328.468,-0.339730,0.696319,palm_handle_from_stable_grasp_anchor,-0.088365,-0.020334,0.003628,visible,1,0
119,4.916667,1,palm,left_hand,handle_loop,383,604.977,332.553,-0.255245,0.690425,palm_handle_from_stable_grasp_anchor,-0.089192,-0.020674,0.002595,visible,1,0
120,4.958333,1,palm,left_hand,handle_loop,361,604.710,334.100,-0.176762,0.668705,palm_handle_from_stable_grasp_anchor,-0.087467,-0.024276,0.002595,visible,1,0
121,5.000000,1,palm,left_hand,handle_loop,339,605.248,336.631,-0.104612,0.658625,palm_handle_from_stable_grasp_anchor,-0.085350,-0.027652,0.002595,visible,1,0
122,5.041667,1,palm,left_hand,handle_loop,316,605.632,337.555,-0.046168,0.655119,palm_handle_from_stable_grasp_anchor,-0.082204,-0.030163,0.003628,visible,1,0
123,5.083333,1,palm,left_hand,handle_loop,321,605.834,339.271,0.015529,0.665358,palm_handle_from_stable_grasp_anchor,-0.082870,-0.030760,-0.002595,visible,1,0
124,5.125000,1,palm,left_hand,handle_loop,297,606.902,339.945,0.058598,0.635172,palm_handle_from_stable_grasp_anchor,-0.080563,-0.034127,0.000000,visible,1,0
125,5.166667,1,palm,left_hand,handle_loop,275,608.166,340.932,0.095398,0.663026,palm_handle_from_stable_grasp_anchor,-0.077386,-0.036629,0.000000,visible,1,0
126,5.208333,1,palm,left_hand,handle_loop,275,609.588,342.081,0.124100,0.639360,palm_handle_from_stable_grasp_anchor,-0.077386,-0.036629,0.000000,visible,1,0
127,5.250000,1,palm,left_hand,handle_loop,276,611.275,344.152,0.150289,0.629397,palm_handle_from_stable_grasp_anchor,-0.077275,-0.036470,-0.001352,visible,1,0
128,5.291667,1,palm,left_hand,handle_loop,276,612.488,345.251,0.168601,0.636513,palm_handle_from_stable_grasp_anchor,-0.077275,-0.036470,-0.001352,visible,1,0
129,5.333333,1,palm,left_hand,handle_loop,276,614.072,347.271,0.180686,0.640079,palm_handle_from_stable_grasp_anchor,-0.077275,-0.036470,-0.001352,visible,1,0
130,5.375000,1,palm,left_hand,handle_loop,276,615.941,348.408,0.189624,0.648180,palm_handle_from_stable_grasp_anchor,-0.077275,-0.036470,-0.001352,visible,1,0
131,5.416667,1,palm,left_hand,handle_loop,276,616.766,349.444,0.197435,0.668061,palm_handle_from_stable_grasp_anchor,-0.077275,-0.036470,-0.001352,visible,1,0
132,5.458333,1,palm,left_hand,handle_loop,277,618.116,350.611,0.205232,0.667053,palm_handle_from_stable_grasp_anchor,-0.076950,-0.036005,-0.002595,visible,1,0
133,5.500000,1,palm,left_hand,handle_loop,277,619.676,351.736,0.214709,0.665751,palm_handle_from_stable_grasp_anchor,-0.076950,-0.036005,-0.002595,visible,1,0
134,5.541667,1,palm,left_hand,handle_loop,277,620.924,351.798,0.226407,0.682994,palm_handle_from_stable_grasp_anchor,-0.076950,-0.036005,-0.002595,visible,1,0
135,5.583333,1,palm,left_hand,handle_loop,277,621.840,351.754,0.239357,0.676231,palm_handle_from_stable_grasp_anchor,-0.076950,-0.036005,-0.002595,visible,1,0
136,5.625000,1,palm,left_hand,handle_loop,278,622.294,351.068,0.253727,0.682117,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
137,5.666667,1,palm,left_hand,handle_loop,278,622.771,351.036,0.267034,0.682134,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
138,5.708333,1,palm,left_hand,handle_loop,278,623.031,351.942,0.278319,0.666894,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
139,5.750000,1,palm,left_hand,handle_loop,278,622.295,352.019,0.287078,0.677774,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
140,5.791667,1,palm,left_hand,handle_loop,278,622.428,352.085,0.291989,0.662709,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
141,5.833333,1,palm,left_hand,handle_loop,278,622.464,352.113,0.294558,0.659502,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
142,5.875000,1,palm,left_hand,handle_loop,278,621.482,352.128,0.294779,0.670265,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
143,5.916667,1,palm,left_hand,handle_loop,278,621.411,352.129,0.294647,0.686628,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
144,5.958333,1,palm,left_hand,handle_loop,278,621.314,352.125,0.294840,0.673383,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
145,6.000000,1,palm,left_hand,handle_loop,278,621.183,352.110,0.295047,0.665857,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
146,6.041667,1,palm,left_hand,handle_loop,278,621.032,352.083,0.294648,0.668360,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
147,6.083333,1,palm,left_hand,handle_loop,278,620.870,352.037,0.292788,0.669529,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
148,6.125000,1,palm,left_hand,handle_loop,278,621.600,351.967,0.289985,0.659025,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
149,6.166667,1,palm,left_hand,handle_loop,278,621.422,351.957,0.286809,0.654581,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
150,6.208333,1,palm,left_hand,handle_loop,278,621.297,352.008,0.283388,0.658190,palm_handle_from_stable_grasp_anchor,-0.076438,-0.035271,-0.003628,visible,1,0
151,6.250000,1,palm,left_hand,handle_loop,277,621.309,351.715,0.280363,0.659775,palm_handle_from_stable_grasp_anchor,-0.076950,-0.036005,-0.002595,visible,1,0
