frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
61,2.500000,-0.401699832,-0.630239884,3.839137107,-0.295210611,-16.914322,-0.537284710,-30.784146,-0.344778050,-19.754327,1.079310979,3.059187,175.2785,visible,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.239049558,-0.279803903,-0.564425579
62,2.541667,-0.402930077,-0.633940128,3.837077865,-0.268671643,-15.393751,-0.532136015,-30.489148,-0.374299924,-21.445806,1.073439578,2.922108,167.4244,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.234916554,-0.287287426,-0.591922416
63,2.583333,-0.403835778,-0.637584786,3.834301732,-0.242404892,-13.888777,-0.526318491,-30.155828,-0.403558950,-23.122225,1.060494006,2.857431,163.7187,visible,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.237672140,-0.299638086,-0.609387530
64,2.625000,-0.404462718,-0.641292058,3.831123457,-0.216438321,-12.401002,-0.519843379,-29.784832,-0.432528404,-24.782052,1.089136909,2.839686,162.7020,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.215569920,-0.316470500,-0.613819236
65,2.666667,-0.404851413,-0.645147709,3.827804095,-0.190797781,-10.931908,-0.512722900,-29.376858,-0.461183690,-26.423879,1.079210625,2.834729,162.4180,visible,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.139874530,-0.363669845,-0.586501852
66,2.708333,-0.405041143,-0.649165587,3.824612624,-0.165506921,-9.482848,-0.504970156,-28.932659,-0.489502438,-28.046424,1.079939348,2.826151,161.9265,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,0.052338174,-0.425601903,-0.549066883
67,2.750000,-0.405095447,-0.653276617,3.821667907,-0.140587122,-8.055049,-0.496599015,-28.453028,-0.517464562,-29.648535,1.079345036,2.811744,161.1011,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,-0.062296575,-0.487409285,-0.568325137
68,2.791667,-0.405091601,-0.657358844,3.818980009,-0.116057479,-6.649604,-0.487624011,-27.938798,-0.545052289,-31.229196,1.059010248,2.794073,160.0886,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,-0.087368906,-0.512871409,-0.563665793
69,2.833333,-0.405095448,-0.661300663,3.816473692,-0.091934796,-5.267476,-0.478060234,-27.390834,-0.572250163,-32.787519,1.102821621,2.775307,159.0134,hidden,m18_body_pose_plus_m17_handle_phase,rotation_slerp,60,70,160,-0.113861572,-0.491094348,-0.577902058
70,2.875000,-0.405173559,-0.665024822,3.814233592,-0.068233623,-3.909499,-0.467923227,-26.810026,-0.599045009,-34.322751,1.099613156,2.756309,157.9249,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
71,2.916667,-0.405362741,-0.668486124,3.812298897,-0.004637753,-0.265724,-0.454906477,-26.064221,-0.629962838,-36.094212,1.092401464,2.737280,156.8346,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
72,2.958333,-0.405660076,-0.671658392,3.810734695,0.008659274,0.496140,-0.497693759,-28.515752,-0.784242831,-44.933804,1.029876422,2.718249,155.7442,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
73,3.000000,-0.406042536,-0.674529708,3.809607761,0.012727538,0.729234,-0.524213637,-30.035229,-0.794167151,-45.502426,1.021011909,2.699217,154.6537,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
74,3.041667,-0.406469908,-0.677087803,3.808874631,-0.018646987,-1.068394,-0.551490700,-31.598090,-0.776393374,-44.484064,1.022268942,2.680185,153.5633,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
75,3.083333,-0.406895111,-0.679326448,3.808532010,-0.063435073,-3.634562,-0.583661355,-33.441332,-0.771285533,-44.191406,1.029706648,2.661154,152.4729,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
76,3.125000,-0.407251573,-0.681234076,3.808672789,-0.082828528,-4.745725,-0.619007964,-35.466544,-0.760909911,-43.596926,1.038734751,2.642122,151.3824,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
77,3.166667,-0.407489016,-0.682767811,3.809275821,-0.081600384,-4.675358,-0.683003733,-39.133231,-0.783173359,-44.872528,1.033393911,2.623090,150.2920,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
78,3.208333,-0.407543906,-0.683861323,3.810244835,-0.082379764,-4.720013,-0.708232858,-40.578754,-0.789092537,-45.211672,1.033983911,2.604059,149.2016,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
79,3.250000,-0.407372098,-0.684433856,3.811489663,-0.106145241,-6.081674,-0.726111970,-41.603151,-0.768572397,-44.035955,1.029238037,2.585027,148.1111,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
80,3.291667,-0.406950649,-0.684387805,3.812982965,-0.143840521,-8.241455,-0.750466418,-42.998558,-0.739441334,-42.366868,1.029389030,2.565995,147.0207,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
81,3.333333,-0.406239598,-0.683612812,3.814724975,-0.157416958,-9.019327,-0.761078223,-43.606570,-0.738703493,-42.324592,1.042080841,2.546964,145.9303,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
82,3.375000,-0.405191861,-0.681997008,3.816766243,-0.133439296,-7.645508,-0.734878730,-42.105450,-0.763748672,-43.759575,1.033688939,2.527932,144.8398,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
83,3.416667,-0.403755012,-0.679444998,3.819226560,-0.034225476,-1.960975,-0.641817044,-36.773408,-0.837961271,-48.011644,1.039543302,2.508901,143.7494,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
