frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
125,5.166667,0,none,right,none,left,757.294,250.432,0.000340,0.005403,0.000000,hand_floor_from_anchor_floor_candidates
126,5.208333,0,none,right,none,left,740.569,243.460,0.008462,0.005571,0.000000,hand_floor_from_anchor_floor_candidates
127,5.250000,0,none,right,none,left,723.211,242.098,0.019395,0.005781,0.000000,hand_floor_from_anchor_floor_candidates
128,5.291667,0,none,right,none,left,706.413,245.096,0.047547,0.005667,0.000000,hand_floor_from_anchor_floor_candidates
129,5.333333,0,none,right,none,left,688.940,252.138,0.014474,0.005634,0.000000,hand_floor_from_anchor_floor_candidates
130,5.375000,0,none,right,none,left,671.678,263.912,0.040487,0.005503,0.000000,hand_floor_from_anchor_floor_candidates
131,5.416667,0,none,right,none,left,655.236,280.215,0.037198,0.005785,0.000000,hand_floor_from_anchor_floor_candidates
132,5.458333,0,none,right,none,left,637.745,301.663,0.058096,0.006760,0.000000,hand_floor_from_anchor_floor_candidates
133,5.500000,0,none,right,none,left,623.861,325.689,0.029691,0.008162,0.000000,hand_floor_from_anchor_floor_candidates
134,5.541667,0,none,right,none,left,607.354,355.402,0.043295,0.011929,0.094168,hand_floor_from_anchor_floor_candidates
135,5.583333,0,none,right,none,left,602.740,352.530,0.022433,0.011959,0.066794,hand_floor_from_anchor_floor_candidates
136,5.625000,0,none,right,none,left,613.254,317.292,0.012261,0.006869,0.000000,hand_floor_from_anchor_floor_candidates
137,5.666667,0,none,right,none,left,620.760,288.210,-0.017336,0.004647,0.000000,hand_floor_from_anchor_floor_candidates
138,5.708333,0,none,right,none,left,630.570,264.644,-0.010987,0.003548,0.000000,hand_floor_from_anchor_floor_candidates
139,5.750000,0,none,right,none,left,637.215,244.755,-0.013197,0.003326,0.000000,hand_floor_from_anchor_floor_candidates
140,5.791667,0,none,right,none,left,644.580,229.527,-0.015296,0.003282,0.000000,hand_floor_from_anchor_floor_candidates
141,5.833333,0,none,right,none,left,651.956,221.273,0.004493,0.003423,0.000000,hand_floor_from_anchor_floor_candidates
142,5.875000,0,none,right,none,left,660.240,217.676,-0.006345,0.003457,0.000000,hand_floor_from_anchor_floor_candidates
143,5.916667,0,none,right,none,left,668.689,220.959,-0.005283,0.003943,0.000000,hand_floor_from_anchor_floor_candidates
144,5.958333,0,none,right,none,left,676.897,229.410,-0.001496,0.004489,0.000000,hand_floor_from_anchor_floor_candidates
145,6.000000,0,none,right,none,left,684.019,244.489,0.016074,0.005897,0.000000,hand_floor_from_anchor_floor_candidates
146,6.041667,0,none,right,none,left,692.686,266.906,0.018880,0.008549,0.000000,hand_floor_from_anchor_floor_candidates
147,6.083333,0,none,right,none,left,699.964,297.228,0.005352,0.016099,0.000000,hand_floor_from_anchor_floor_candidates
148,6.125000,0,none,right,none,left,708.224,338.244,-0.251634,0.039699,0.000000,hand_floor_from_anchor_floor_candidates
149,6.166667,0,none,right,none,left,716.559,340.039,0.093647,0.069637,0.000000,hand_floor_from_anchor_floor_candidates
150,6.208333,0,none,right,none,bottom,733.269,347.732,-1.113751,0.127834,0.000000,hand_floor_from_anchor_floor_candidates
151,6.250000,0,none,right,none,bottom,748.113,320.361,-0.819321,0.129727,0.000000,hand_floor_from_anchor_floor_candidates
152,6.291667,0,none,right,none,left,761.163,280.066,0.160133,0.096951,0.000000,hand_floor_from_anchor_floor_candidates
153,6.333333,0,none,right,none,left,779.992,254.228,0.076609,0.058864,0.000000,hand_floor_from_anchor_floor_candidates
154,6.375000,0,none,right,none,left,796.868,234.658,0.017174,0.030878,0.000000,hand_floor_from_anchor_floor_candidates
155,6.416667,0,none,right,none,left,810.525,221.364,0.006610,0.015691,0.000000,hand_floor_from_anchor_floor_candidates
156,6.458333,0,none,right,none,left,823.240,213.332,-0.007003,0.007714,0.000000,hand_floor_from_anchor_floor_candidates
157,6.500000,0,none,right,none,left,834.918,208.714,-0.017057,0.003781,0.000000,hand_floor_from_anchor_floor_candidates
158,6.541667,0,none,right,none,left,841.471,205.856,-0.005980,0.002123,0.000000,hand_floor_from_anchor_floor_candidates
159,6.583333,0,none,right,none,left,832.964,193.430,-0.013366,0.001601,0.000000,hand_floor_from_anchor_floor_candidates
160,6.625000,0,none,right,none,left,822.982,184.426,0.012450,0.001257,0.000000,hand_floor_from_anchor_floor_candidates
161,6.666667,0,none,right,none,left,814.812,179.990,0.009524,0.000918,0.000000,hand_floor_from_anchor_floor_candidates
162,6.708333,0,none,right,none,left,805.759,178.880,0.012952,0.000665,0.000000,hand_floor_from_anchor_floor_candidates
163,6.750000,0,none,right,none,left,796.559,182.151,0.017011,0.000460,0.000000,hand_floor_from_anchor_floor_candidates
164,6.791667,0,none,right,none,left,788.183,189.375,0.003387,0.000305,0.000000,hand_floor_from_anchor_floor_candidates
165,6.833333,0,none,right,none,left,779.537,199.637,0.020226,0.000218,0.000000,hand_floor_from_anchor_floor_candidates
166,6.875000,0,none,right,none,left,770.848,214.074,0.049904,0.000162,0.000000,hand_floor_from_anchor_floor_candidates
167,6.916667,0,none,right,none,left,763.449,232.259,0.061168,0.000127,0.000000,hand_floor_from_anchor_floor_candidates
168,6.958333,0,none,right,none,left,754.469,254.610,0.044239,0.000113,0.000000,hand_floor_from_anchor_floor_candidates
169,7.000000,0,none,right,none,left,746.354,280.982,0.037467,0.000119,0.000000,hand_floor_from_anchor_floor_candidates
170,7.041667,0,none,right,none,left,738.073,312.223,0.027369,0.000143,0.000000,hand_floor_from_anchor_floor_candidates
171,7.083333,0,none,right,none,left,731.209,347.685,0.036786,0.000187,0.026270,hand_floor_from_anchor_floor_candidates
172,7.125000,0,none,right,none,left,724.669,387.167,0.022664,0.000267,0.405931,hand_floor_from_anchor_floor_candidates
173,7.166667,0,none,right,none,left,715.977,431.952,0.022456,0.000417,0.840900,hand_floor_from_anchor_floor_candidates
174,7.208333,0,none,right,none,left,708.233,488.017,0.019359,0.000566,1.000000,hand_floor_from_anchor_floor_candidates
175,7.250000,0,none,right,none,left,701.318,546.880,0.011962,0.000597,1.000000,hand_floor_from_anchor_floor_candidates
176,7.291667,0,none,right,none,left,692.756,610.331,-0.306141,0.000447,1.000000,hand_floor_from_anchor_floor_candidates
177,7.333333,1,floor,,floor_support,top,696.429,642.521,-0.760314,0.000808,1.000000,hand_floor_from_anchor_floor_candidates
178,7.375000,0,none,right,none,top,697.802,595.243,-0.088910,0.000723,1.000000,hand_floor_from_anchor_floor_candidates
