frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,z_ref_anchor_segment,contact_part,contact_side,contact_label,contact_u,contact_v
73,3.000000,-0.077175,-0.077899,2.875314,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,600.582,320.212,600.582,320.212,328.525,328.525,600.582,320.212,328.525,2.875314,0.014905,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.875314,none,right,none,591.157,320.121
74,3.041667,-0.081344,-0.055455,2.517283,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.543,327.647,592.543,327.647,335.994,335.994,592.543,327.647,335.994,2.517283,0.045716,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.517283,none,right,none,601.813,326.938
75,3.083333,-0.082956,-0.059166,2.517283,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,591.603,325.482,591.603,325.482,334.572,334.572,591.603,325.482,334.572,2.517283,0.070692,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.517283,none,right,none,601.097,324.973
76,3.125000,-0.069566,-0.090411,2.549986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.935,307.930,599.935,307.930,316.590,316.590,599.935,307.930,316.590,2.549986,0.029996,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.549986,none,right,none,600.315,316.590
77,3.166667,-0.041524,-0.121319,2.549986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,616.085,290.129,616.085,290.129,298.610,298.610,616.085,290.129,298.610,2.549986,0.010787,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.549986,none,right,none,616.466,298.610
78,3.208333,-0.017856,-0.138394,2.565940,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,629.780,280.791,629.780,280.791,289.729,289.729,629.780,280.791,289.729,2.565940,0.011865,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.565940,none,right,none,630.204,289.729
79,3.250000,0.005848,-0.142176,2.565940,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,643.347,278.626,643.347,278.626,287.640,287.640,643.347,278.626,287.640,2.565940,0.022627,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.565940,none,right,none,643.470,287.640
80,3.291667,0.029252,-0.133651,2.549986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,656.847,283.027,656.847,283.027,292.486,292.486,656.847,283.027,292.486,2.549986,0.007235,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.549986,none,right,none,657.364,292.486
81,3.333333,0.051201,-0.113674,2.549986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,669.488,294.532,669.488,294.532,303.737,303.737,669.488,294.532,303.737,2.549986,0.003780,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.549986,none,right,none,658.674,294.204
82,3.375000,0.072211,-0.078252,2.493359,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.533,313.909,682.533,313.909,323.874,323.874,682.533,313.909,323.874,2.493359,-0.068102,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.493359,none,right,none,671.692,313.753
