frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
181,7.500000,free_motion,0.074060,0,0,0,generic_motion_regime_from_se3_and_anchor_state
182,7.541667,uniform_motion,0.062729,0,0,0,generic_motion_regime_from_se3_and_anchor_state
183,7.583333,high_speed,0.160702,0,0,0,generic_motion_regime_from_se3_and_anchor_state
184,7.625000,high_speed,0.245481,0,0,0,generic_motion_regime_from_se3_and_anchor_state
185,7.666667,low_speed,0.018511,0,0,0,generic_motion_regime_from_se3_and_anchor_state
186,7.708333,low_speed,0.026306,0,0,0,generic_motion_regime_from_se3_and_anchor_state
187,7.750000,low_speed,0.018544,0,0,0,generic_motion_regime_from_se3_and_anchor_state
188,7.791667,uniform_motion,0.034619,0,0,0,generic_motion_regime_from_se3_and_anchor_state
189,7.833333,free_motion,0.073723,0,0,0,generic_motion_regime_from_se3_and_anchor_state
190,7.875000,free_motion,0.079874,0,0,0,generic_motion_regime_from_se3_and_anchor_state
191,7.916667,high_speed,0.167229,0,0,0,generic_motion_regime_from_se3_and_anchor_state
192,7.958333,sustained_grasp_high_speed,0.314962,1,1,1,generic_motion_regime_from_se3_and_anchor_state
193,8.000000,uniform_motion,0.046081,0,0,0,generic_motion_regime_from_se3_and_anchor_state
194,8.041667,high_speed,0.112833,0,0,0,generic_motion_regime_from_se3_and_anchor_state
195,8.083333,free_motion,0.108772,0,0,0,generic_motion_regime_from_se3_and_anchor_state
196,8.125000,free_motion,0.087308,0,0,0,generic_motion_regime_from_se3_and_anchor_state
197,8.166667,free_motion,0.073565,0,0,0,generic_motion_regime_from_se3_and_anchor_state
198,8.208333,uniform_motion,0.062874,0,0,0,generic_motion_regime_from_se3_and_anchor_state
199,8.250000,uniform_motion,0.054890,0,0,0,generic_motion_regime_from_se3_and_anchor_state
200,8.291667,free_motion,0.076796,0,0,0,generic_motion_regime_from_se3_and_anchor_state
201,8.333333,free_motion,0.081302,0,0,0,generic_motion_regime_from_se3_and_anchor_state
202,8.375000,uniform_motion,0.066950,0,0,0,generic_motion_regime_from_se3_and_anchor_state
203,8.416667,uniform_motion,0.048510,0,0,0,generic_motion_regime_from_se3_and_anchor_state
204,8.458333,uniform_motion,0.033472,0,0,0,generic_motion_regime_from_se3_and_anchor_state
205,8.500000,uniform_motion,0.039376,0,0,0,generic_motion_regime_from_se3_and_anchor_state
206,8.541667,uniform_motion,0.064854,0,0,0,generic_motion_regime_from_se3_and_anchor_state
207,8.583333,low_speed,0.014786,0,0,0,generic_motion_regime_from_se3_and_anchor_state
208,8.625000,static_hold,0.009290,0,0,0,generic_motion_regime_from_se3_and_anchor_state
209,8.666667,low_speed,0.019168,0,0,0,generic_motion_regime_from_se3_and_anchor_state
210,8.708333,low_speed,0.031906,0,0,0,generic_motion_regime_from_se3_and_anchor_state
211,8.750000,uniform_motion,0.052878,0,0,0,generic_motion_regime_from_se3_and_anchor_state
212,8.791667,uniform_motion,0.033714,0,0,0,generic_motion_regime_from_se3_and_anchor_state
213,8.833333,uniform_motion,0.050194,0,0,0,generic_motion_regime_from_se3_and_anchor_state
214,8.875000,uniform_motion,0.051279,0,0,0,generic_motion_regime_from_se3_and_anchor_state
215,8.916667,uniform_motion,0.064302,0,0,0,generic_motion_regime_from_se3_and_anchor_state
216,8.958333,free_motion,0.075918,0,0,0,generic_motion_regime_from_se3_and_anchor_state
217,9.000000,high_speed,0.126484,0,0,0,generic_motion_regime_from_se3_and_anchor_state
218,9.041667,free_motion,0.105900,0,0,0,generic_motion_regime_from_se3_and_anchor_state
219,9.083333,high_speed,0.123784,0,0,0,generic_motion_regime_from_se3_and_anchor_state
220,9.125000,sustained_grasp,0.111446,1,1,1,generic_motion_regime_from_se3_and_anchor_state
221,9.166667,uniform_motion,0.056091,0,0,0,generic_motion_regime_from_se3_and_anchor_state
222,9.208333,free_motion,0.071923,0,0,0,generic_motion_regime_from_se3_and_anchor_state
223,9.250000,uniform_motion,0.060083,0,0,0,generic_motion_regime_from_se3_and_anchor_state
224,9.291667,uniform_motion,0.040798,0,0,0,generic_motion_regime_from_se3_and_anchor_state
225,9.333333,low_speed,0.019293,0,0,0,generic_motion_regime_from_se3_and_anchor_state
226,9.375000,low_speed,0.014315,0,0,0,generic_motion_regime_from_se3_and_anchor_state
227,9.416667,uniform_motion,0.061505,0,0,0,generic_motion_regime_from_se3_and_anchor_state
228,9.458333,uniform_motion,0.035096,0,0,0,generic_motion_regime_from_se3_and_anchor_state
229,9.500000,sustained_grasp_high_speed,0.140486,1,1,1,generic_motion_regime_from_se3_and_anchor_state
230,9.541667,high_speed,0.234571,0,0,0,generic_motion_regime_from_se3_and_anchor_state
231,9.583333,high_speed,0.328869,0,0,0,generic_motion_regime_from_se3_and_anchor_state
232,9.625000,uniform_motion,0.035923,0,0,0,generic_motion_regime_from_se3_and_anchor_state
233,9.666667,uniform_motion,0.042505,0,0,0,generic_motion_regime_from_se3_and_anchor_state
234,9.708333,uniform_motion,0.066954,0,0,0,generic_motion_regime_from_se3_and_anchor_state
235,9.750000,high_speed,0.473620,0,0,0,generic_motion_regime_from_se3_and_anchor_state
236,9.791667,uniform_motion,0.057468,0,0,0,generic_motion_regime_from_se3_and_anchor_state
237,9.833333,uniform_motion,0.049104,0,0,0,generic_motion_regime_from_se3_and_anchor_state
238,9.875000,uniform_motion,0.049647,0,0,0,generic_motion_regime_from_se3_and_anchor_state
239,9.916667,low_speed,0.031850,0,0,0,generic_motion_regime_from_se3_and_anchor_state
240,9.958333,low_speed,0.025464,0,0,0,generic_motion_regime_from_se3_and_anchor_state
