frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
42,1.708333,-0.324066,0.186418,3.670444,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,,510.336,434.589,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.047908,3.603596,510.336,434.589,509.000,388.000,0.113495,0.113495,3.783939,3.615028,3.659911,3.615028,0.180343,0.033903,0.000000,
43,1.750000,-0.333190,0.169928,3.707140,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,,508.005,427.318,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.023571,3.605705,508.005,427.318,508.000,380.000,0.132893,0.132893,3.840033,3.615563,3.666762,3.615563,0.234328,0.058084,0.000000,
44,1.791667,-0.333455,0.165090,3.756566,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,,509.638,424.541,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.024516,3.608222,509.638,424.541,510.000,377.000,0.117810,0.117810,3.874376,3.616098,3.647065,3.616098,0.266154,0.084433,0.000000,
45,1.833333,-0.323709,0.184869,3.818229,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,,515.492,431.106,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.052561,3.600945,515.492,431.106,504.000,390.000,0.063792,0.063792,3.882021,3.616634,3.616106,3.616634,0.281076,0.134711,0.000000,
46,1.875000,-0.314985,0.239530,3.888992,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,,521.052,450.454,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.103709,3.601496,521.052,450.454,507.000,407.000,-0.099169,-0.099169,3.789823,3.617169,3.568080,3.617169,0.188327,0.198344,0.000000,
47,1.916667,-0.302446,0.338223,3.962124,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,,527.895,485.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.177883,3.610142,527.895,485.366,517.000,444.000,-0.084889,-0.084889,3.877235,3.617705,3.536391,3.617705,0.267093,0.267194,0.000000,
48,1.958333,-0.282890,0.478888,4.026018,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,,536.808,534.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.249242,3.635264,536.808,534.688,532.000,491.000,0.017989,0.017989,4.044007,3.618240,3.486796,3.618240,0.408743,0.333772,0.000000,
49,2.000000,-0.252030,0.643904,4.062794,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,,548.897,592.756,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.291609,3.665288,548.897,592.756,541.000,541.000,0.004284,0.004284,4.067078,3.618775,3.448796,3.618775,0.401790,0.412280,0.000000,
50,2.041667,-0.232727,0.729049,4.042150,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,,555.445,624.880,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.309879,3.677545,555.445,624.880,539.000,586.000,0.116312,0.116312,4.158462,3.619311,3.440687,3.619311,0.480916,0.436477,0.000000,
51,2.083333,-0.209317,0.592371,3.920462,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,,561.590,581.902,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.308704,3.679149,561.590,581.902,550.000,539.000,0.017078,0.017078,3.937540,3.619846,3.448879,3.619846,0.258391,0.254165,0.938178,audio_floor_soft
52,2.125000,-0.186575,0.444243,3.620382,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,,564.316,540.207,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.282445,3.660060,564.316,540.207,559.000,493.000,0.039678,0.039678,3.660060,3.620382,3.454870,3.620382,0.000000,0.051956,0.000000,
53,2.166667,-0.169944,0.362613,3.656971,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,,571.752,505.622,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.229896,3.629781,571.752,505.622,559.000,470.000,-0.027190,-0.027190,3.629781,3.656971,3.472199,3.656971,0.000000,0.021913,0.000000,
54,2.208333,-0.150862,0.295121,3.646835,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,,579.247,478.847,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.168322,3.595288,579.247,478.847,565.000,439.000,0.056577,0.056577,3.703412,3.646845,3.464230,3.646845,0.108124,0.024667,0.000000,
55,2.250000,-0.142003,0.245698,3.636703,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,,582.655,459.220,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.108950,3.578041,582.655,459.220,574.000,415.000,0.090446,0.090446,3.727149,3.636719,3.467678,3.636719,0.149109,0.032973,0.000000,
56,2.291667,-0.123470,0.208739,3.626634,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,,590.001,444.529,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.068091,3.565777,590.001,444.529,579.000,400.000,0.091486,0.091486,3.718120,3.626594,3.467084,3.626594,0.152343,0.036943,0.000000,
57,2.333333,-0.110121,0.193357,3.616551,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,,595.282,438.518,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.041986,3.554059,595.282,438.518,588.000,396.000,0.072253,0.072253,3.688804,3.616468,3.473912,3.616468,0.134745,0.045619,0.000000,
58,2.375000,-0.093259,0.190782,3.606511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,,602.024,437.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.046884,3.539736,602.024,437.688,592.000,394.000,0.055643,0.055643,3.662154,3.606342,3.503970,3.606342,0.122418,0.039499,0.000000,
59,2.416667,-0.081462,0.212720,3.596449,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,,606.735,446.864,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.082655,3.522427,606.735,446.864,605.000,401.000,0.040156,0.040156,3.636605,3.596217,3.537608,3.596217,0.114178,0.029714,0.000000,
