frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
48,1.958333,-0.255900,0.433199,3.641915,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,,536.808,534.688,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.249242,3.635264,536.808,534.688,529.764,492.361,0.017989,3.659904,3.642276,3.622541,3.642276,0.024640
49,2.000000,-0.226100,0.577656,3.644797,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,,548.897,592.756,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.291609,3.665288,548.897,592.756,520.274,620.366,0.004284,3.649081,3.645215,3.608652,3.645215,-0.016207
50,2.041667,-0.210021,0.657918,3.647772,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,,555.445,624.880,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.309879,3.677545,555.445,624.880,516.479,638.325,0.116312,3.764084,3.648154,3.594943,3.648154,0.086539
51,2.083333,-0.194920,0.551627,3.650809,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,,561.590,581.902,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.308704,3.679149,561.590,581.902,531.841,610.575,0.017078,3.667887,3.651093,3.580755,3.651093,-0.011262
52,2.125000,-0.188301,0.448354,3.653882,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,,564.316,540.207,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.282445,3.660060,564.316,540.207,560.453,492.683,0.039678,3.693560,3.654032,3.585253,3.654032,0.033500
53,2.166667,-0.169944,0.362613,3.656971,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,,571.752,505.622,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,0,1,0,hand,right,right_hand,right_hand,0.229896,3.629781,571.752,505.622,561.099,469.396,-0.027190,3.629781,3.656971,3.585498,3.656971,0.000000
54,2.208333,-0.151129,0.295643,3.653287,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,,579.247,478.847,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.168322,3.595288,579.247,478.847,566.501,437.711,0.056577,3.709864,3.653347,3.564980,3.653347,0.114576
55,2.250000,-0.142507,0.246570,3.649603,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,,582.655,459.220,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.108950,3.578041,582.655,459.220,573.796,415.148,0.090446,3.740049,3.649723,3.536583,3.649723,0.162009
56,2.291667,-0.124128,0.209853,3.645975,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,,590.001,444.529,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.068091,3.565777,590.001,444.529,580.318,400.478,0.091486,3.737461,3.646099,3.514546,3.646099,0.171684
57,2.333333,-0.110906,0.194735,3.642325,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,,595.282,438.518,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.041986,3.554059,595.282,438.518,589.916,395.996,0.072253,3.714578,3.642475,3.507725,3.642475,0.160520
