frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
123,5.083333,580.891,519.951,0.000000,542.614,514.897,0.000000,609.928,514.966,0.000000,577.466,471.358,0.000000,574.054,550.263,0.000000
124,5.125000,579.022,576.362,0.000000,537.424,568.371,0.000000,609.304,568.050,0.000000,568.512,496.896,0.000000,572.582,606.015,0.000000
125,5.166667,576.998,625.455,0.000000,538.365,620.016,0.000000,606.706,616.628,0.000000,561.964,506.812,0.000000,574.706,654.118,0.000000
126,5.208333,566.936,598.351,0.000000,528.331,589.370,0.000000,598.512,586.900,0.000000,557.451,509.467,0.000000,565.730,623.953,0.000000
127,5.250000,558.272,553.177,0.000000,521.192,548.204,0.000000,591.941,547.391,0.000000,550.976,493.517,0.000000,557.162,581.332,0.000000
128,5.291667,545.595,515.876,0.000000,510.193,512.328,0.000000,581.480,511.606,0.000000,543.290,463.960,0.000000,545.492,546.266,0.000000
129,5.333333,538.774,477.491,1.000000,497.000,477.491,1.000000,582.000,477.491,1.000000,538.774,433.000,1.000000,538.774,523.000,1.000000
130,5.375000,532.923,457.569,1.000000,491.145,459.082,0.000000,578.565,466.294,1.000000,529.629,413.662,1.000000,537.097,505.583,1.000000
131,5.416667,527.804,450.721,0.000000,486.107,452.616,0.000000,574.940,462.701,1.000000,523.847,405.994,0.000000,534.226,497.289,1.000000
132,5.458333,522.813,450.564,0.000000,480.621,453.686,0.000000,571.127,463.458,0.000000,518.344,405.660,0.000000,530.169,496.414,1.000000
133,5.500000,518.675,460.239,0.000000,476.411,464.551,0.000000,567.691,468.153,1.000000,516.108,416.266,0.000000,526.312,506.598,1.000000
134,5.541667,516.801,491.165,1.000000,473.754,495.900,0.000000,563.425,490.296,0.000000,516.028,443.218,1.000000,524.143,535.417,0.000000
135,5.583333,512.281,541.280,0.000000,472.845,540.893,0.000000,554.801,534.307,0.000000,515.658,476.414,1.000000,517.753,579.291,0.000000
136,5.625000,509.538,604.936,0.000000,472.024,597.014,0.000000,549.282,602.771,0.000000,515.690,489.454,1.000000,513.000,634.705,0.000000
137,5.666667,508.615,613.016,0.000000,472.118,603.292,0.000000,547.889,608.167,0.000000,514.259,491.904,0.000000,513.252,637.984,0.000000
138,5.708333,512.004,564.000,0.000000,473.493,558.457,0.000000,550.886,556.427,0.000000,513.309,485.592,0.000000,518.054,595.920,0.000000
139,5.750000,515.885,522.839,0.000000,475.722,524.443,0.000000,558.142,513.465,0.000000,514.284,470.543,1.000000,523.876,562.408,0.000000
140,5.791667,518.398,490.272,0.000000,477.848,494.217,0.000000,565.831,487.308,0.000000,517.013,445.729,0.000000,526.263,534.416,0.000000
141,5.833333,523.141,469.296,0.000000,483.789,472.624,0.000000,570.184,473.229,0.000000,521.504,426.110,0.000000,530.905,514.807,1.000000
142,5.875000,527.441,458.547,0.000000,490.551,461.322,0.000000,573.183,468.935,0.000000,526.908,415.356,0.000000,533.904,503.932,1.000000
143,5.916667,535.452,457.535,0.000000,499.206,458.570,0.000000,578.050,468.990,0.000000,537.147,413.099,0.000000,539.242,502.289,1.000000
144,5.958333,543.944,465.230,0.000000,508.409,464.199,0.000000,583.551,473.634,0.000000,547.816,419.621,0.000000,544.253,507.112,1.000000
145,6.000000,553.615,488.595,0.000000,517.622,484.040,0.000000,591.966,493.732,0.000000,561.286,441.746,0.000000,550.303,524.018,1.000000
146,6.041667,566.653,532.252,0.000000,529.289,523.577,0.000000,603.456,534.034,0.000000,576.415,480.632,0.000000,558.517,565.942,0.000000
147,6.083333,571.464,588.997,0.000000,539.646,565.933,0.000000,611.211,587.262,0.000000,575.643,499.350,0.000000,565.233,616.538,0.000000
148,6.125000,580.793,628.922,0.000000,549.940,606.031,0.000000,618.204,625.075,0.000000,575.734,502.175,0.000000,571.049,653.055,0.000000
149,6.166667,577.978,593.678,0.000000,548.327,571.122,0.000000,618.441,587.580,0.000000,576.414,501.375,0.000000,573.012,620.913,0.000000
150,6.208333,580.525,556.347,0.000000,545.569,537.094,0.000000,620.791,550.047,0.000000,579.802,491.197,0.000000,572.449,581.972,0.000000
151,6.250000,581.265,523.942,0.000000,546.173,508.862,0.000000,620.909,519.746,0.000000,581.613,471.510,1.000000,571.944,548.973,0.000000
152,6.291667,581.896,489.425,0.000000,546.905,482.832,0.000000,620.823,491.707,0.000000,581.380,444.663,1.000000,573.669,523.934,0.000000
153,6.333333,584.517,465.954,0.000000,549.867,463.721,0.000000,620.202,472.248,0.000000,582.948,422.779,0.000000,574.106,505.455,1.000000
154,6.375000,587.445,457.765,0.000000,552.121,453.289,0.000000,619.323,466.200,0.000000,585.655,413.299,0.000000,576.563,496.110,1.000000
155,6.416667,588.419,456.349,0.000000,553.408,450.256,0.000000,619.417,465.366,0.000000,588.484,410.605,0.000000,577.384,495.683,1.000000
156,6.458333,590.389,459.841,0.000000,554.176,454.753,0.000000,620.756,468.245,0.000000,591.677,415.275,0.000000,579.631,501.452,1.000000
157,6.500000,592.503,480.365,0.000000,555.654,473.557,0.000000,622.374,486.731,0.000000,596.379,435.378,0.000000,580.654,518.991,1.000000
158,6.541667,587.079,524.237,0.000000,552.593,514.767,0.000000,619.523,526.513,0.000000,597.942,474.526,0.000000,576.146,556.920,0.000000
159,6.583333,577.275,581.384,0.000000,553.334,567.772,0.000000,612.957,576.029,0.000000,585.203,509.933,0.000000,575.329,614.563,0.000000
160,6.625000,569.528,629.057,0.000000,547.890,617.162,0.000000,607.824,621.484,0.000000,579.687,533.576,0.000000,568.047,664.217,0.000000
161,6.666667,557.948,599.012,1.000000,514.000,599.012,1.000000,602.000,599.012,1.000000,557.948,555.000,1.000000,557.948,639.000,1.000000
162,6.708333,543.797,556.276,0.000000,506.094,559.835,0.000000,587.200,559.108,1.000000,550.590,522.159,0.000000,547.016,595.778,1.000000
163,6.750000,531.425,522.348,0.000000,500.332,527.137,0.000000,573.222,525.921,0.000000,542.331,495.325,0.000000,537.298,557.428,1.000000
164,6.791667,522.968,495.835,0.000000,494.876,498.583,0.000000,563.381,500.443,0.000000,535.536,476.751,0.000000,527.211,528.127,1.000000
165,6.833333,513.969,476.172,0.000000,487.947,479.934,0.000000,553.601,481.763,0.000000,529.529,462.408,0.000000,518.416,505.190,1.000000
166,6.875000,508.961,461.396,0.000000,483.964,469.193,0.000000,547.365,464.870,0.000000,525.171,452.427,0.000000,512.076,489.069,1.000000
167,6.916667,504.786,452.386,0.000000,481.027,462.854,0.000000,542.795,454.976,0.000000,522.530,447.689,0.000000,507.714,479.708,1.000000
168,6.958333,501.852,448.394,0.000000,478.779,459.214,0.000000,539.670,451.129,0.000000,520.564,446.134,0.000000,504.148,475.119,0.000000
169,7.000000,497.098,451.025,0.000000,474.534,460.156,0.000000,535.851,455.188,0.000000,517.000,448.508,0.000000,500.133,479.286,0.000000
170,7.041667,494.617,463.891,0.000000,468.895,472.272,0.000000,532.617,470.091,0.000000,514.349,455.873,0.000000,494.650,495.704,0.000000
171,7.083333,492.702,498.023,0.000000,466.280,505.757,0.000000,531.908,503.989,0.000000,514.151,480.219,0.000000,493.184,532.475,0.000000
172,7.125000,495.666,551.354,0.000000,466.605,555.265,0.000000,535.917,553.247,0.000000,517.404,525.043,0.000000,494.511,583.436,0.000000
173,7.166667,503.524,608.459,0.000000,470.160,610.617,0.000000,541.033,609.323,0.000000,521.663,577.127,0.000000,500.438,643.302,0.000000
174,7.208333,503.426,600.048,0.000000,472.115,603.596,0.000000,541.380,600.662,0.000000,523.464,568.732,0.000000,500.131,632.984,0.000000
175,7.250000,504.330,553.959,0.000000,475.412,556.671,0.000000,542.411,557.997,0.000000,523.954,526.618,0.000000,502.234,587.876,0.000000
176,7.291667,509.804,519.860,0.000000,481.136,526.689,0.000000,547.405,525.601,0.000000,524.932,497.914,0.000000,510.134,553.327,0.000000
177,7.333333,516.214,486.243,0.000000,486.433,491.960,0.000000,552.658,493.326,0.000000,529.815,463.450,0.000000,514.978,519.399,0.000000
178,7.375000,522.095,463.306,0.000000,493.630,472.145,0.000000,558.466,469.460,0.000000,533.640,444.868,0.000000,523.153,495.318,0.000000
179,7.416667,529.419,449.649,0.000000,501.210,457.133,0.000000,565.796,456.562,0.000000,539.749,437.540,0.000000,530.000,481.269,0.000000
180,7.458333,536.751,443.446,0.000000,509.126,449.873,0.000000,571.476,452.176,0.000000,545.155,433.634,0.000000,535.656,474.153,0.000000
181,7.500000,544.016,444.508,0.000000,516.271,450.704,0.000000,578.016,453.649,0.000000,551.211,433.851,0.000000,542.899,475.020,0.000000
182,7.541667,553.654,454.480,0.000000,527.128,458.540,0.000000,586.507,464.664,0.000000,561.689,439.908,0.000000,548.510,483.735,0.000000
183,7.583333,564.326,471.179,0.000000,533.492,476.184,0.000000,598.593,481.734,0.000000,568.843,454.258,0.000000,563.173,502.417,0.000000
184,7.625000,573.785,503.059,0.000000,538.364,511.317,0.000000,610.443,511.745,0.000000,574.665,478.006,0.000000,573.038,539.299,0.000000
185,7.666667,581.331,550.508,0.000000,535.950,554.110,0.000000,618.681,555.021,0.000000,573.691,515.573,0.000000,579.318,590.554,0.000000
186,7.708333,591.976,608.264,1.000000,537.955,606.699,1.000000,627.024,614.827,0.000000,568.149,564.381,0.000000,584.251,649.929,0.000000
187,7.750000,590.151,607.027,1.000000,536.310,606.509,1.000000,624.340,611.743,0.000000,567.904,564.409,0.000000,583.228,646.947,0.000000
188,7.791667,577.278,568.847,0.000000,532.094,574.488,0.000000,614.092,573.899,0.000000,570.281,535.796,0.000000,576.970,605.050,0.000000
189,7.833333,568.765,530.343,0.000000,529.835,537.606,0.000000,606.367,536.339,0.000000,571.034,503.590,0.000000,571.936,565.599,0.000000
