frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
42,1.708333,left_hand,hand,left,-0.629541671,0.082889366,3.323209906,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
42,1.708333,right_hand,hand,right,-0.250218499,0.099170864,2.721585512,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
42,1.708333,left_foot,foot,left,-1.177787066,0.963724375,3.235419750,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
42,1.708333,right_foot,foot,right,-0.366584063,1.012933016,3.134355545,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
43,1.750000,left_hand,hand,left,-0.622655952,0.075927645,3.330328465,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
43,1.750000,right_hand,hand,right,-0.217898083,0.089438057,2.737983322,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
43,1.750000,left_foot,foot,left,-1.180540323,0.962097406,3.247262001,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
43,1.750000,right_foot,foot,right,-0.368213356,1.011910439,3.143642187,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
44,1.791667,left_hand,hand,left,-0.628204978,0.065653390,3.359043550,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
44,1.791667,right_hand,hand,right,-0.182068288,0.075625950,2.779462385,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
44,1.791667,left_foot,foot,left,-1.187328100,0.962021112,3.281090736,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
44,1.791667,right_foot,foot,right,-0.374124855,1.011225343,3.175079107,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
45,1.833333,left_hand,hand,left,-0.632487178,0.053119582,3.344359875,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
45,1.833333,right_hand,hand,right,-0.131434846,0.063152093,2.798407745,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
45,1.833333,left_foot,foot,left,-1.189350128,0.958555579,3.271241665,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
45,1.833333,right_foot,foot,right,-0.375615776,1.011910439,3.162846804,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
46,1.875000,left_hand,hand,left,-0.651312518,0.045915782,3.329638767,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
46,1.875000,right_hand,hand,right,-0.081361067,0.042089802,2.840474701,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
46,1.875000,left_foot,foot,left,-1.193724632,0.955546498,3.258697033,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
46,1.875000,right_foot,foot,right,-0.379611582,1.015598774,3.147534132,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
47,1.916667,left_hand,hand,left,-0.665704000,0.041729981,3.321746397,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
47,1.916667,right_hand,hand,right,-0.025734186,0.013057792,2.899200773,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
47,1.916667,left_foot,foot,left,-1.190956354,0.954490304,3.246696711,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
47,1.916667,right_foot,foot,right,-0.376499355,1.017741084,3.133089304,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
48,1.958333,left_hand,hand,left,-0.685777271,0.038535881,3.313027334,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
48,1.958333,right_hand,hand,right,0.014695239,-0.026276517,2.980555344,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
48,1.958333,left_foot,foot,left,-1.188710213,0.953714609,3.234654188,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
48,1.958333,right_foot,foot,right,-0.373925775,1.017163992,3.119062901,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
49,2.000000,left_hand,hand,left,-0.710228086,0.036475509,3.301424122,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
49,2.000000,right_hand,hand,right,0.035573065,-0.078491330,3.067445803,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
49,2.000000,left_foot,foot,left,-1.187166691,0.953668892,3.222678900,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
49,2.000000,right_foot,foot,right,-0.371675432,1.013705730,3.107728243,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
50,2.041667,left_hand,hand,left,-0.734508669,0.038055873,3.281120396,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
50,2.041667,right_hand,hand,right,0.035167909,-0.127232194,3.149532938,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
50,2.041667,left_foot,foot,left,-1.180658698,0.955182731,3.203777790,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
50,2.041667,right_foot,foot,right,-0.364399254,1.012798309,3.090376377,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
51,2.083333,left_hand,hand,left,-0.761771405,0.039248908,3.270920372,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
