frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
152,6.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3504247036698714,3.0365338415152803e-134,0,0,0,0
153,6.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3817895127212635,5.875146783983503e-130,0,0,0,0
154,6.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.27854798486438587,3.3751363903118075e-92,0,0,0,0
155,6.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.22314010654710112,1.106443584483948e-58,0,0,0,0
156,6.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.26345678874139833,2.296779831838993e-33,0,0,0,0
157,6.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4251943086487728,6.349284719252847e-13,0,0,0,0
158,6.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.5899572989941582,0.6928321998295193,1,1,0,1
159,6.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.43740398478556664,1.0,0,1,0,0
160,6.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2541465859392113,0.9922427241739155,0,1,0,0
161,6.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.31631050969433444,0.9990586633355983,0,1,0,0
162,6.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2723638525380444,0.8564516230069551,0,1,0,0
163,6.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.29817538348600814,0.8430717221022473,0,1,0,0
164,6.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3465333243545794,0.5689731693555599,0,1,0,0
