frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
42,1.708333,534.596,175.478,534.613,175.439,534.613,175.439,center,center,531.000,198.973,199.000,23.495,23.534,bottom_percentile_95,521.107,171.688,articraft_surface_contact_region_keyframe_affine,3.698568,3.666098,-0.032470,0.824975,0.000000,1.000000,1.000000,0.824975,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.859073,546.936,172.619,3.795711,contact_region:left:rigid_keyframe_surface_region,3.659913,3.661321,3.677937,3.698568,1.000000,0.027095,0.496742,0.000000
43,1.750000,530.284,169.381,530.111,169.463,530.111,169.463,center,center,528.000,193.073,193.000,23.692,23.609,bottom_percentile_95,516.848,166.507,articraft_surface_contact_region_keyframe_affine,3.651889,3.606153,-0.045735,0.811724,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.891864,543.423,164.908,3.795834,contact_region:left:rigid_keyframe_surface_region,3.602422,3.643412,3.613696,3.651889,0.000000,0.072581,0.984442,0.000000
44,1.791667,525.249,164.188,525.355,164.184,525.355,164.184,center,center,520.000,187.717,187.850,23.529,23.533,bottom_percentile_95,512.231,156.139,articraft_surface_contact_region_keyframe_affine,3.643668,3.633350,-0.010318,0.807032,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.043000,5.000000,8.000000,left_hand,0.915083,539.456,158.797,3.798677,contact_region:left:rigid_keyframe_surface_region,3.623156,3.624576,3.636941,3.643668,0.000000,0.132657,0.748720,0.000000
45,1.833333,520.528,159.562,520.447,159.536,520.447,159.536,center,center,518.000,183.235,183.000,23.673,23.698,bottom_percentile_95,507.747,154.579,articraft_surface_contact_region_keyframe_affine,3.645236,3.644478,-0.000758,0.810457,0.000000,1.000000,0.212193,0.212193,1.000000,0.000000,0.224000,5.000000,8.000000,left_hand,0.962454,536.691,153.206,3.800175,contact_region:left:rigid_keyframe_surface_region,3.642865,3.622026,3.646520,3.645236,0.212193,0.234762,0.586922,0.000000
46,1.875000,515.922,155.212,516.060,155.192,516.060,155.192,center,center,514.000,179.316,179.000,24.104,24.125,bottom_percentile_95,499.831,149.228,articraft_surface_contact_region_keyframe_affine,3.628996,3.598542,-0.030454,0.790234,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.986355,533.630,148.593,3.802743,contact_region:left:rigid_keyframe_surface_region,3.602060,3.631889,3.615708,3.628996,0.000000,0.316467,0.730290,0.000000
47,1.916667,512.173,151.147,512.049,151.280,512.049,151.280,center,center,511.000,175.939,176.000,24.792,24.659,bottom_percentile_95,499.163,146.957,articraft_surface_contact_region_keyframe_affine,3.605026,3.575241,-0.029786,0.796190,0.014685,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.948162,530.957,143.839,3.805291,contact_region:left:rigid_keyframe_surface_region,3.563960,3.640666,3.585415,3.605026,0.000000,0.060886,0.347662,0.000000
48,1.958333,508.410,147.610,508.533,147.331,508.533,147.331,center,center,509.000,172.526,173.000,24.916,25.196,bottom_percentile_95,495.225,138.170,articraft_surface_contact_region_keyframe_affine,3.640976,3.705976,0.064999,0.812763,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.530000,5.000000,8.000000,left_hand,0.953612,528.822,139.540,3.805750,contact_region:left:rigid_keyframe_surface_region,3.659803,3.635957,3.670390,3.640976,0.000000,0.473667,0.007330,0.000000
49,2.000000,505.204,143.291,505.020,143.550,505.020,143.550,center,center,503.000,169.027,168.850,25.736,25.477,bottom_percentile_95,490.530,136.586,articraft_surface_contact_region_keyframe_affine,3.691742,3.728961,0.037219,0.823165,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.169000,5.000000,8.000000,left_hand,0.892525,527.459,137.107,3.805639,contact_region:left:rigid_keyframe_surface_region,3.728961,3.620879,3.733278,3.691742,0.000000,0.177029,0.534619,0.000000
50,2.041667,501.686,140.140,501.885,140.006,501.885,140.006,center,center,500.000,165.524,165.000,25.384,25.519,bottom_percentile_95,487.604,133.649,articraft_surface_contact_region_keyframe_affine,3.683625,3.656121,-0.027504,0.806552,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.537000,5.000000,8.000000,left_hand,0.845366,525.670,134.185,3.807565,contact_region:left:rigid_keyframe_surface_region,3.663857,3.623357,3.676983,3.683625,0.000000,0.524276,0.832155,0.000000
51,2.083333,499.138,137.080,499.011,137.165,499.011,137.165,center,center,497.000,162.733,163.000,25.653,25.568,bottom_percentile_95,485.980,130.992,articraft_surface_contact_region_keyframe_affine,3.638322,3.582656,-0.055667,0.800090,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.361000,5.000000,8.000000,left_hand,0.825417,524.643,132.302,3.808614,contact_region:left:rigid_keyframe_surface_region,3.590197,3.626300,3.601257,3.638322,0.000000,0.266629,0.498383,0.000000
