frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
77,2.533333,-0.610185,-0.435022,6.414618,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,750.450,390.604,,750.450,390.605,,430.289,430.288,750.450,390.604,750.450,390.605,430.288,430.289,0.000664,0.101600,0.000000,0.000000,6.510787,-0.096169,30.025350,0,0
78,2.566667,-0.603812,-0.346863,6.421353,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,752.857,421.011,,752.857,421.005,,450.198,450.204,752.857,421.011,752.857,421.005,450.204,450.198,0.005623,0.154237,0.000000,0.000000,6.737226,-0.315873,29.798911,0,0
79,2.600000,-0.603954,-0.342721,6.427968,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,753.021,422.541,,753.021,422.547,,467.642,467.636,753.021,422.541,753.021,422.547,467.636,467.642,0.006356,0.624719,0.000000,0.000000,6.849540,-0.421572,29.686597,0,1
80,2.633333,-0.606947,-0.238432,6.434547,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,752.208,458.373,,752.208,458.371,,492.178,492.180,752.208,458.373,752.208,458.371,492.180,492.178,0.001775,0.714127,0.000000,0.000000,6.621488,-0.186941,29.914649,0,1
81,2.666667,-0.614183,-0.128588,6.440204,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.915,496.014,,749.915,496.016,,538.313,538.311,749.915,496.014,749.915,496.016,538.311,538.313,0.001656,0.233849,0.000000,0.000000,6.594941,-0.154737,0.041857,0,0
82,2.700000,-0.614751,0.003460,6.443422,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.826,541.187,,749.826,541.183,,567.646,567.650,749.826,541.187,749.826,541.183,567.650,567.646,0.004212,0.366946,0.000000,0.000000,6.620793,-0.177371,29.915344,0,1
83,2.733333,-0.614310,0.009750,6.442935,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.961,543.330,,749.961,543.334,,592.149,592.145,749.961,543.330,749.961,543.334,592.145,592.149,0.003605,0.983679,0.000000,0.000000,6.631248,-0.188313,0.019233,0,1
84,2.766667,-0.613459,0.153444,6.441987,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,750.221,592.473,,750.221,592.472,,624.138,624.139,750.221,592.473,750.221,592.472,624.139,624.138,0.001178,1.000000,0.000000,0.000000,6.953670,-0.511683,0.355920,0,1
85,2.800000,-0.612733,0.312446,6.440314,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,750.415,646.871,,750.415,646.872,,684.514,684.513,750.415,646.871,750.415,646.872,684.513,684.514,0.001047,0.022477,0.000000,0.000000,7.098759,-0.658445,2.080746,0,0
86,2.833333,-0.614640,0.482292,6.438128,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.690,705.028,,749.691,705.024,,725.334,725.338,749.690,705.028,749.691,705.024,725.338,725.334,0.004273,1.000000,0.238777,0.000000,7.233343,-0.795215,0.564015,0,1
87,2.866667,-0.615261,0.561700,6.427576,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.134,732.573,,749.133,732.510,,738.496,738.559,749.134,732.573,749.133,732.510,738.559,738.496,0.063101,1.000000,0.689335,0.000000,7.585411,-1.157835,-1.860545,1,1
88,2.900000,-0.618109,0.470974,6.466347,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.427,700.441,,749.427,700.448,,733.900,733.893,749.427,700.441,749.427,700.448,733.893,733.900,0.006884,0.762810,0.266775,0.000000,7.743842,-1.277495,7.542696,0,1
89,2.933333,-0.621362,0.468325,6.507849,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,749.669,698.530,,749.669,698.528,,727.021,727.023,749.669,698.530,749.669,698.528,727.023,727.021,0.002105,0.572107,0.181409,0.000000,7.815136,-1.307287,6.433900,0,1
90,2.966667,-0.632821,0.406914,6.549520,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,747.153,676.864,,747.153,676.864,,709.639,709.639,747.153,676.864,747.153,676.864,709.639,709.639,0.000203,0.381405,0.114423,0.000000,7.847218,-1.297698,19.809847,0,1
91,3.000000,-0.646616,0.335424,6.591138,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,743.886,652.106,,743.886,652.106,,686.288,686.288,743.886,652.106,743.886,652.106,686.288,686.288,0.000339,0.016357,0.000000,0.000000,8.027543,-1.436405,0.355986,0,0
