frame,time,u,v,x,y,visible,confidence,source
166,6.875000,640.912,365.954,640.912,365.954,1.000000,1.000000,sam2_mask_center
167,6.916667,640.861,365.974,640.861,365.974,1.000000,1.000000,sam2_mask_center
168,6.958333,640.827,366.000,640.827,366.000,1.000000,1.000000,sam2_mask_center
169,7.000000,640.885,366.027,640.885,366.027,1.000000,1.000000,sam2_mask_center
170,7.041667,640.893,366.015,640.893,366.015,1.000000,1.000000,sam2_mask_center
171,7.083333,640.815,366.012,640.815,366.012,1.000000,1.000000,sam2_mask_center
172,7.125000,640.835,366.049,640.835,366.049,1.000000,1.000000,sam2_mask_center
173,7.166667,640.767,366.049,640.767,366.049,1.000000,1.000000,sam2_mask_center
174,7.208333,640.741,366.033,640.741,366.033,1.000000,1.000000,sam2_mask_center
175,7.250000,640.728,366.034,640.728,366.034,1.000000,1.000000,sam2_mask_center
176,7.291667,640.683,366.020,640.683,366.020,1.000000,1.000000,sam2_mask_center
177,7.333333,640.635,366.014,640.635,366.014,1.000000,1.000000,sam2_mask_center
178,7.375000,640.532,365.990,640.532,365.990,1.000000,1.000000,sam2_mask_center
179,7.416667,640.585,365.985,640.585,365.985,1.000000,1.000000,sam2_mask_center
180,7.458333,640.573,365.986,640.573,365.986,1.000000,1.000000,sam2_mask_center
181,7.500000,640.724,365.954,640.724,365.954,1.000000,1.000000,sam2_mask_center
182,7.541667,640.686,365.975,640.686,365.975,1.000000,1.000000,sam2_mask_center
183,7.583333,640.669,365.989,640.669,365.989,1.000000,1.000000,sam2_mask_center
184,7.625000,640.658,365.968,640.658,365.968,1.000000,1.000000,sam2_mask_center
185,7.666667,640.607,365.953,640.607,365.953,1.000000,1.000000,sam2_mask_center
186,7.708333,640.638,365.931,640.638,365.931,1.000000,1.000000,sam2_mask_center
187,7.750000,640.578,365.952,640.578,365.952,1.000000,1.000000,sam2_mask_center
188,7.791667,640.551,365.954,640.551,365.954,1.000000,1.000000,sam2_mask_center
189,7.833333,640.554,365.935,640.554,365.935,1.000000,1.000000,sam2_mask_center
190,7.875000,640.483,365.908,640.483,365.908,1.000000,1.000000,sam2_mask_center
191,7.916667,640.440,365.883,640.440,365.883,1.000000,1.000000,sam2_mask_center
