frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
61,2.500000,right_hand,hand,right,-0.344566226,-0.203814149,3.451482058,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
62,2.541667,left_hand,hand,left,-1.029799700,0.117359221,3.138584614,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
62,2.541667,right_hand,hand,right,-0.383716494,-0.147571325,3.428899288,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
63,2.583333,left_hand,hand,left,-1.038525343,0.116098195,3.152038336,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
63,2.583333,right_hand,hand,right,-0.425720453,-0.085905969,3.408291340,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
64,2.625000,left_hand,hand,left,-1.042088866,0.114529908,3.168018818,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
64,2.625000,right_hand,hand,right,-0.457432985,-0.028050810,3.379372120,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
65,2.666667,left_hand,hand,left,-1.042037964,0.112609088,3.190619230,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
65,2.666667,right_hand,hand,right,-0.476305157,0.038419828,3.350946903,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
66,2.708333,left_hand,hand,left,-1.033690810,0.108778059,3.214104176,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
66,2.708333,right_hand,hand,right,-0.482106656,0.082816258,3.319546223,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
67,2.750000,left_hand,hand,left,-1.013367176,0.104671538,3.241463900,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
67,2.750000,right_hand,hand,right,-0.465836406,0.108929515,3.296876431,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
68,2.791667,left_hand,hand,left,-0.981084704,0.094485521,3.269929171,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
68,2.791667,right_hand,hand,right,-0.434989333,0.110167712,3.280639172,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
69,2.833333,left_hand,hand,left,-0.937323570,0.081701308,3.289962053,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
69,2.833333,right_hand,hand,right,-0.383762866,0.093367845,3.256739855,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
70,2.875000,left_hand,hand,left,-0.887464762,0.068019122,3.301899195,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
70,2.875000,right_hand,hand,right,-0.321349859,0.075507402,3.220538139,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
71,2.916667,left_hand,hand,left,-0.833957791,0.056929022,3.308150530,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
71,2.916667,right_hand,hand,right,-0.259990722,0.065795317,3.165935993,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
72,2.958333,left_hand,hand,left,-0.777552128,0.053781480,3.312455654,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
72,2.958333,right_hand,hand,right,-0.216202021,0.063480377,3.098136187,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
73,3.000000,left_hand,hand,left,-0.723343134,0.055719018,3.297976017,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
73,3.000000,right_hand,hand,right,-0.189397752,0.069220349,3.016849518,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
74,3.041667,left_hand,hand,left,-0.677382112,0.064386964,3.268910885,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
74,3.041667,right_hand,hand,right,-0.174900949,0.081544906,2.930563927,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
75,3.083333,left_hand,hand,left,-0.642946362,0.074074537,3.247778177,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
75,3.083333,right_hand,hand,right,-0.173655957,0.097188562,2.857259512,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
76,3.125000,left_hand,hand,left,-0.604953766,0.071110696,3.242650270,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
76,3.125000,right_hand,hand,right,-0.183932275,0.119550779,2.799357653,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
77,3.166667,left_hand,hand,left,-0.563482344,0.069803059,3.230999708,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
77,3.166667,right_hand,hand,right,-0.194658190,0.139502659,2.739465237,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
78,3.208333,left_hand,hand,left,-0.532487988,0.063124567,3.260908127,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
78,3.208333,right_hand,hand,right,-0.207942873,0.157224327,2.716789484,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
79,3.250000,left_hand,hand,left,-0.504495203,0.053084254,3.285677910,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
79,3.250000,right_hand,hand,right,-0.213504225,0.178290531,2.709058762,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
80,3.291667,left_hand,hand,left,-0.487819076,0.043418884,3.307576656,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
80,3.291667,right_hand,hand,right,-0.207782179,0.193470329,2.717389107,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
81,3.333333,left_hand,hand,left,-0.480316073,0.038336277,3.315500259,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
81,3.333333,right_hand,hand,right,-0.185912788,0.197654352,2.731080532,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
82,3.375000,left_hand,hand,left,-0.478430331,0.034162045,3.297952652,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
82,3.375000,right_hand,hand,right,-0.144204766,0.188435167,2.743675470,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
83,3.416667,left_hand,hand,left,-0.483300865,0.031076908,3.270263433,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
83,3.416667,right_hand,hand,right,-0.098768979,0.170481846,2.762407780,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
84,3.458333,left_hand,hand,left,-0.514879048,0.032718509,3.262542725,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
84,3.458333,right_hand,hand,right,-0.050142378,0.125588596,2.823050499,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
85,3.500000,left_hand,hand,left,-0.557240486,0.031766176,3.268429756,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
85,3.500000,right_hand,hand,right,-0.019072503,0.065447509,2.916278362,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
86,3.541667,left_hand,hand,left,-0.604981363,0.022552371,3.285191298,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
86,3.541667,right_hand,hand,right,-0.013399869,-0.006897777,3.020377159,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
87,3.583333,left_hand,hand,left,-0.657976449,0.007061005,3.292977571,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
87,3.583333,right_hand,hand,right,-0.027157128,-0.082678080,3.117668629,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
88,3.625000,left_hand,hand,left,-0.714383602,0.006120056,3.311765909,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
88,3.625000,right_hand,hand,right,-0.058448225,-0.145539314,3.219150305,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
89,3.666667,left_hand,hand,left,-0.760353088,0.012746960,3.326730490,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
89,3.666667,right_hand,hand,right,-0.098201871,-0.198832631,3.322315454,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
90,3.708333,left_hand,hand,left,-0.792245805,0.018972933,3.302606583,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
90,3.708333,right_hand,hand,right,-0.139823467,-0.237224907,3.368580341,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
91,3.750000,left_hand,hand,left,-0.821581423,0.030214548,3.287393808,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
91,3.750000,right_hand,hand,right,-0.189613223,-0.265656650,3.408662319,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
92,3.791667,left_hand,hand,left,-0.847460210,0.039321303,3.278903961,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
92,3.791667,right_hand,hand,right,-0.237041071,-0.283520669,3.433776379,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
93,3.833333,left_hand,hand,left,-0.873985589,0.049583077,3.267346621,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
93,3.833333,right_hand,hand,right,-0.275452256,-0.279178321,3.436065674,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
