frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
64,2.625000,-0.169222,-0.483725,2.987489,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,556.813,122.208,556.813,122.208,140.215,140.215,556.813,122.208,140.215,2.987489,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
65,2.666667,-0.148862,-0.439552,2.901317,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.648,137.505,564.648,137.505,163.162,163.162,564.648,137.505,163.162,2.901317,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
66,2.708333,-0.152287,-0.443085,2.881739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,562.391,134.193,562.391,134.193,159.087,159.087,562.391,134.193,159.087,2.881739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
67,2.750000,-0.161252,-0.480489,2.881739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,557.822,115.131,557.822,115.131,140.542,140.542,557.822,115.131,140.542,2.881739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
68,2.791667,-0.170720,-0.531476,2.881739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.997,89.147,552.997,89.147,116.569,116.569,552.997,89.147,116.569,2.881739,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
69,2.833333,-0.177555,-0.591941,2.901317,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.124,60.368,550.124,60.368,87.717,87.717,550.124,60.368,87.717,2.901317,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
70,2.875000,-0.200120,-0.726021,3.236575,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,549.195,30.566,549.195,30.566,58.831,58.831,549.195,30.566,58.831,3.236575,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
71,2.916667,-0.214832,-0.842775,3.521203,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.399,8.500,550.399,8.500,32.961,32.961,550.399,8.500,32.961,3.521203,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
72,2.958333,-0.199103,-0.871663,3.547044,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,557.564,-0.900,557.564,-0.900,19.609,19.609,557.564,-0.900,19.609,3.547044,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
73,3.000000,-0.201753,-0.765859,3.572885,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,557.071,45.200,557.071,45.200,59.738,59.738,557.071,45.200,59.738,3.572885,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
