frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
144,5.958333,531.574,568.690,1.000000,500.770,564.782,1.000000,562.741,568.066,1.000000,532.132,528.169,1.000000,532.415,606.385,0.000000
145,6.000000,531.441,568.741,1.000000,500.518,564.814,1.000000,562.540,568.127,1.000000,531.898,528.239,1.000000,532.306,606.429,0.000000
146,6.041667,531.490,568.594,1.000000,500.524,564.738,1.000000,562.593,567.991,1.000000,532.097,528.093,1.000000,532.445,606.370,0.000000
147,6.083333,531.480,568.558,1.000000,500.477,564.703,1.000000,562.545,567.911,1.000000,532.054,527.986,1.000000,532.403,606.319,0.000000
148,6.125000,531.501,568.575,1.000000,500.573,564.761,1.000000,562.546,567.933,1.000000,532.143,527.963,1.000000,532.512,606.376,0.000000
149,6.166667,531.490,568.547,1.000000,500.571,564.739,1.000000,562.503,567.829,1.000000,532.107,527.972,1.000000,532.567,606.325,0.000000
150,6.208333,531.640,568.482,1.000000,500.670,564.759,1.000000,562.675,567.713,1.000000,532.257,527.987,1.000000,532.684,606.346,0.000000
151,6.250000,531.597,568.385,1.000000,500.615,564.777,1.000000,562.610,567.538,1.000000,532.026,528.065,1.000000,532.576,606.246,0.000000
152,6.291667,531.568,568.280,1.000000,500.630,564.764,1.000000,562.597,567.379,1.000000,532.133,528.027,1.000000,532.656,606.172,0.000000
153,6.333333,531.519,568.192,1.000000,500.576,564.788,1.000000,562.505,567.221,1.000000,532.084,528.083,1.000000,532.648,606.173,0.000000
154,6.375000,531.489,568.067,1.000000,500.486,564.819,1.000000,562.423,567.014,1.000000,531.990,528.226,1.000000,532.558,606.155,0.000000
155,6.416667,531.324,567.816,1.000000,500.367,564.686,1.000000,562.208,566.647,1.000000,531.931,528.193,1.000000,532.431,606.011,0.000000
156,6.458333,531.303,567.508,1.000000,500.373,564.539,1.000000,562.107,566.188,1.000000,531.909,528.156,1.000000,532.410,605.823,0.000000
157,6.500000,531.222,567.205,1.000000,500.311,564.405,1.000000,561.969,565.659,1.000000,531.804,528.069,1.000000,532.252,605.577,0.000000
158,6.541667,531.203,567.186,1.000000,500.283,564.490,0.000000,561.860,565.489,1.000000,531.810,528.299,1.000000,532.292,605.600,0.000000
159,6.583333,531.192,567.065,1.000000,500.236,564.486,0.000000,561.761,565.260,1.000000,531.601,528.326,1.000000,532.272,605.556,0.000000
160,6.625000,531.267,566.999,1.000000,500.240,564.553,0.000000,561.877,565.048,1.000000,531.610,528.470,1.000000,532.174,605.466,0.000000
161,6.666667,530.670,568.594,1.000000,499.000,568.594,1.000000,562.000,568.594,1.000000,530.670,531.000,1.000000,530.670,608.000,1.000000
162,6.708333,531.364,568.591,1.000000,499.487,568.256,1.000000,563.199,567.889,1.000000,531.468,531.234,1.000000,530.963,607.951,1.000000
163,6.750000,531.181,568.513,1.000000,499.701,567.445,1.000000,564.073,566.090,1.000000,531.922,530.756,1.000000,530.854,607.946,1.000000
164,6.791667,531.024,568.307,1.000000,500.544,566.736,0.000000,565.380,563.312,1.000000,532.122,529.688,1.000000,530.658,607.831,1.000000
165,6.833333,531.014,568.755,1.000000,501.227,566.727,0.000000,567.279,561.273,1.000000,534.232,528.887,1.000000,530.564,608.060,1.000000
166,6.875000,530.926,568.598,1.000000,501.815,566.329,0.000000,570.931,561.094,1.000000,536.128,528.173,0.000000,530.508,607.993,1.000000
167,6.916667,530.740,568.787,1.000000,502.527,566.325,0.000000,579.753,563.899,1.000000,540.705,528.441,1.000000,530.252,608.009,1.000000
168,6.958333,530.863,568.734,1.000000,502.945,566.351,0.000000,592.022,565.298,1.000000,546.406,528.750,0.000000,530.131,607.973,1.000000
169,7.000000,530.693,568.746,1.000000,502.919,566.556,0.000000,601.764,566.541,1.000000,552.723,529.682,1.000000,530.002,607.936,1.000000
170,7.041667,530.552,568.982,1.000000,502.760,566.941,0.000000,609.461,569.266,1.000000,557.607,532.451,1.000000,529.855,608.032,1.000000
171,7.083333,530.456,569.026,1.000000,502.599,567.164,0.000000,618.406,573.011,1.000000,567.733,534.807,1.000000,529.733,607.968,1.000000
172,7.125000,530.407,569.090,1.000000,502.416,567.406,0.000000,622.434,575.840,1.000000,565.629,536.762,1.000000,529.743,607.975,1.000000
173,7.166667,530.382,569.130,1.000000,502.231,567.591,0.000000,622.534,577.668,1.000000,562.587,537.950,1.000000,529.809,607.959,1.000000
174,7.208333,530.395,569.096,1.000000,502.193,567.686,0.000000,623.337,578.739,1.000000,562.538,538.199,0.000000,529.999,607.920,1.000000
175,7.250000,530.371,569.136,1.000000,502.065,567.841,0.000000,622.349,579.473,1.000000,553.651,537.735,0.000000,530.085,607.983,1.000000
176,7.291667,530.376,569.126,1.000000,501.942,567.874,0.000000,620.594,579.683,1.000000,552.104,537.542,0.000000,530.123,607.985,1.000000
177,7.333333,530.496,569.256,1.000000,501.872,567.991,0.000000,618.940,579.807,1.000000,549.700,537.107,0.000000,530.435,608.024,1.000000
178,7.375000,530.474,569.283,1.000000,501.875,568.010,0.000000,613.672,578.279,0.000000,545.789,535.968,0.000000,530.480,608.031,1.000000
179,7.416667,530.408,569.250,1.000000,501.694,567.813,0.000000,597.443,574.379,0.000000,538.682,533.328,0.000000,530.517,608.024,1.000000
180,7.458333,530.426,569.272,1.000000,501.549,567.889,0.000000,592.794,573.129,0.000000,537.053,533.198,0.000000,530.486,608.074,1.000000
181,7.500000,530.431,569.205,1.000000,501.490,567.776,0.000000,590.749,572.218,0.000000,536.249,532.892,0.000000,530.534,607.971,1.000000
182,7.541667,530.404,569.186,1.000000,501.510,567.705,0.000000,587.909,571.615,0.000000,535.810,532.796,0.000000,530.428,607.976,1.000000
183,7.583333,530.389,569.169,1.000000,501.430,567.790,0.000000,584.015,570.828,0.000000,535.181,532.709,0.000000,530.359,607.971,1.000000
184,7.625000,530.421,569.257,1.000000,501.453,567.840,0.000000,579.575,570.337,0.000000,534.584,532.595,0.000000,530.291,608.033,1.000000
185,7.666667,530.359,569.272,1.000000,501.372,567.953,0.000000,576.494,570.230,0.000000,534.282,532.611,0.000000,530.241,608.051,1.000000
186,7.708333,530.400,569.273,1.000000,501.371,568.027,0.000000,574.417,570.136,0.000000,534.017,532.605,0.000000,530.230,608.025,1.000000
187,7.750000,530.330,569.286,1.000000,501.309,568.066,0.000000,573.635,570.066,0.000000,533.883,532.700,0.000000,530.160,608.070,1.000000
188,7.791667,530.288,569.344,1.000000,501.305,568.121,0.000000,573.350,570.042,0.000000,533.992,532.828,0.000000,530.071,608.128,1.000000
189,7.833333,530.430,569.296,1.000000,501.352,568.218,0.000000,573.073,569.972,0.000000,533.974,532.850,0.000000,530.341,608.119,1.000000
