frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
59,2.416667,-0.079621,0.207912,3.515156,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,47.035,606.735,446.864,50.135,496.999,668.476,floor,ball_contact_events,0.617236,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.082655,3.522427,3.515156,-0.007271,0.500000,0,tap
60,2.458333,-0.062181,0.268325,3.541027,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.211,471.285,46.761,614.211,471.285,49.769,521.054,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.149066,3.515331,3.511569,0.025696,0.375000,0,
61,2.500000,-0.052603,0.375102,3.524796,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.083,516.286,46.388,618.083,516.286,49.998,566.284,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.233198,3.529446,3.507981,-0.004651,0.250000,0,
62,2.541667,-0.049708,0.524316,3.553046,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.454,576.719,46.101,619.454,576.719,49.600,626.319,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.296407,3.565840,3.504394,-0.012794,0.260500,0,
63,2.583333,-0.046487,0.639264,3.580941,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,620.935,622.173,46.303,620.935,622.173,49.214,671.387,668.476,floor,ball_contact_events,0.617236,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.319635,3.588305,3.500806,-0.007364,0.390750,0,
64,2.625000,-0.065478,0.549307,3.587154,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,613.193,584.890,47.080,613.193,584.890,49.129,634.019,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.318141,3.595595,3.497219,-0.008441,0.521000,0,bounce
65,2.666667,-0.062623,0.431543,3.563866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.194,537.831,46.239,614.194,537.831,49.450,587.281,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.288897,3.568808,3.493631,-0.004941,0.390750,0,
66,2.708333,-0.069813,0.349420,3.518458,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,610.860,505.848,47.271,610.860,505.848,50.088,555.936,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.231314,3.524351,3.490044,-0.005893,0.260500,0,
67,2.750000,-0.085760,0.285259,3.486456,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,603.875,480.160,47.448,603.875,480.160,50.548,530.708,668.476,floor,ball_contact_events,0.617236,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.166336,3.495199,3.486456,-0.008743,0.000000,0,
68,2.791667,-0.095694,0.240265,3.487085,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.698,461.189,46.503,599.698,461.189,50.539,511.728,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.110082,3.479692,3.487574,0.007393,0.000000,0,
69,2.833333,-0.103009,0.213674,3.487701,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,596.625,449.974,46.322,596.625,449.974,50.530,500.504,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.072233,3.477928,3.488693,0.009772,0.000000,0,
70,2.875000,-0.113147,0.201944,3.488300,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.364,445.020,47.024,592.364,445.020,50.521,495.541,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.053759,3.486533,3.489811,0.001768,0.250000,0,
71,2.916667,-0.120446,0.205152,3.492418,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,589.351,446.269,47.364,589.351,446.269,50.461,496.730,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.067951,3.492919,3.490929,-0.000501,0.375000,0,
72,2.958333,-0.137111,0.239264,3.492048,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.337,460.624,47.866,582.337,460.624,50.467,511.091,668.476,floor,ball_contact_events,0.617236,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.116445,3.500810,3.492048,-0.008762,0.500000,0,tap
73,3.000000,-0.153040,0.313758,3.513993,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.040,491.129,47.130,576.040,491.129,50.152,541.281,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.194940,3.519376,3.501885,-0.005382,0.375000,0,
74,3.041667,-0.173695,0.429052,3.538835,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,567.917,538.055,47.730,567.917,538.055,49.800,587.855,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.272274,3.555856,3.511722,-0.017021,0.250000,0,
75,3.083333,-0.196261,0.591136,3.578581,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.457,602.595,45.833,559.457,602.595,49.246,651.841,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.318453,3.603198,3.521560,-0.024617,0.210000,0,
76,3.125000,-0.225144,0.632546,3.604464,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.267,617.725,46.876,548.267,617.725,48.893,666.618,668.476,floor,ball_contact_events,0.617236,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.327131,3.616008,3.531397,-0.011544,0.315000,0,
77,3.166667,-0.257145,0.523847,3.611017,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.419,573.049,45.140,535.419,573.049,48.804,621.853,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.310595,3.619903,3.541234,-0.008886,0.420000,0,bounce
