frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
129,5.333333,585.091,86.194,35.170,3.363384,3.363384,1.000000,observed_mask_median,da3_metric_sam2_mask_median
130,5.375000,587.570,111.036,34.508,2.962788,2.962788,1.000000,observed_mask_median,da3_metric_sam2_mask_median
131,5.416667,588.881,131.740,33.402,2.903203,2.903203,1.000000,observed_mask_median,da3_metric_sam2_mask_median
132,5.458333,580.939,120.891,32.513,2.806285,2.903203,1.000000,observed_mask_median,da3_metric_sam2_mask_median
133,5.500000,567.121,95.025,31.443,2.703969,2.903203,1.000000,observed_mask_median,da3_metric_sam2_mask_median
134,5.541667,548.899,65.229,31.630,2.747753,2.903203,1.000000,observed_mask_median,da3_metric_sam2_mask_median
135,5.583333,527.646,38.076,32.728,3.114194,3.114194,1.000000,observed_mask_median,da3_metric_sam2_mask_median
136,5.625000,506.879,21.817,29.511,3.187350,3.187350,1.000000,observed_mask_median,da3_metric_sam2_mask_median
137,5.666667,486.933,12.675,22.198,6.711513,3.741024,1.000000,observed_mask_median,da3_metric_sam2_mask_median
138,5.708333,467.592,5.925,13.681,3.741024,5.805110,1.000000,observed_mask_median,da3_metric_sam2_mask_median
139,5.750000,449.282,0.718,3.523,6.624271,5.805110,0.140625,observed_mask_median,da3_metric_sam2_mask_median
140,5.791667,514.872,58.893,,6.214691,5.805110,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
141,5.833333,522.344,72.308,,5.805110,5.395530,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
142,5.875000,524.751,87.126,,5.395530,5.395530,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
143,5.916667,528.646,102.990,,4.985950,4.985950,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
144,5.958333,530.472,118.404,,4.576370,4.576370,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
145,6.000000,316.387,3.911,11.027,4.166789,4.281568,1.000000,observed_mask_median,da3_metric_sam2_mask_median
146,6.041667,295.386,9.695,19.149,4.063218,4.247597,1.000000,observed_mask_median,da3_metric_sam2_mask_median
147,6.083333,273.306,17.858,27.611,4.200817,4.247597,1.000000,observed_mask_median,da3_metric_sam2_mask_median
148,6.125000,250.926,28.597,34.374,4.281568,4.232651,1.000000,observed_mask_median,da3_metric_sam2_mask_median
149,6.166667,226.189,51.228,35.789,4.247597,4.247597,1.000000,observed_mask_median,da3_metric_sam2_mask_median
150,6.208333,201.533,78.299,36.174,4.365447,4.281568,1.000000,observed_mask_median,da3_metric_sam2_mask_median
151,6.250000,176.848,108.022,35.557,4.232651,4.333488,1.000000,observed_mask_median,da3_metric_sam2_mask_median
152,6.291667,151.127,141.127,35.557,4.333488,4.365447,1.000000,observed_mask_median,da3_metric_sam2_mask_median
153,6.333333,125.597,178.072,35.763,4.643217,4.365447,1.000000,observed_mask_median,da3_metric_sam2_mask_median
154,6.375000,99.199,217.115,36.051,4.670808,4.333488,1.000000,observed_mask_median,da3_metric_sam2_mask_median
155,6.416667,72.983,258.395,36.042,4.805628,4.333488,1.000000,observed_mask_median,da3_metric_sam2_mask_median
156,6.458333,45.172,304.449,36.776,4.309696,4.437555,1.000000,observed_mask_median,da3_metric_sam2_mask_median
157,6.500000,24.669,352.104,34.174,4.312324,4.437555,1.000000,observed_mask_median,da3_metric_sam2_mask_median
158,6.541667,10.884,404.127,21.756,4.183043,4.437555,1.000000,observed_mask_median,da3_metric_sam2_mask_median
159,6.583333,677.910,153.853,,4.437555,4.437555,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
160,6.625000,676.866,153.192,,4.692067,4.692067,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
161,6.666667,674.901,151.665,,4.946579,4.946579,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
162,6.708333,673.362,151.158,,5.201091,4.946579,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
163,6.750000,672.426,150.506,,5.455603,4.946579,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
164,6.791667,1.358,417.411,5.499,5.710115,4.946579,0.312500,observed_mask_median,da3_metric_sam2_mask_median
165,6.833333,9.920,372.221,20.098,4.803135,4.803135,1.000000,observed_mask_median,da3_metric_sam2_mask_median
166,6.875000,21.525,327.590,31.357,4.254587,4.651992,1.000000,observed_mask_median,da3_metric_sam2_mask_median
167,6.916667,35.659,286.689,36.073,4.119499,4.545092,1.000000,observed_mask_median,da3_metric_sam2_mask_median
168,6.958333,57.789,249.611,35.179,4.651992,4.280996,1.000000,observed_mask_median,da3_metric_sam2_mask_median
169,7.000000,82.966,213.711,34.916,4.545092,4.254587,1.000000,observed_mask_median,da3_metric_sam2_mask_median
170,7.041667,108.493,181.550,35.016,4.280996,4.166873,1.000000,observed_mask_median,da3_metric_sam2_mask_median
171,7.083333,135.034,154.153,35.315,4.166873,4.166873,1.000000,observed_mask_median,da3_metric_sam2_mask_median
172,7.125000,161.154,129.832,34.993,4.115432,4.166873,1.000000,observed_mask_median,da3_metric_sam2_mask_median
173,7.166667,187.402,110.586,34.934,3.978219,4.166873,1.000000,observed_mask_median,da3_metric_sam2_mask_median
174,7.208333,214.267,94.454,34.605,4.026741,4.166873,1.000000,observed_mask_median,da3_metric_sam2_mask_median
175,7.250000,241.679,81.189,34.193,4.256732,4.124594,1.000000,observed_mask_median,da3_metric_sam2_mask_median
176,7.291667,269.236,72.845,34.044,4.357690,4.124594,1.000000,observed_mask_median,da3_metric_sam2_mask_median
177,7.333333,296.389,67.114,34.513,4.180700,4.124594,1.000000,observed_mask_median,da3_metric_sam2_mask_median
178,7.375000,325.259,64.733,34.563,4.124594,4.124594,1.000000,observed_mask_median,da3_metric_sam2_mask_median
179,7.416667,354.506,66.492,34.618,4.111627,4.111627,1.000000,observed_mask_median,da3_metric_sam2_mask_median
180,7.458333,383.731,71.956,34.151,4.095105,4.095105,1.000000,observed_mask_median,da3_metric_sam2_mask_median
181,7.500000,413.536,80.968,34.715,3.863631,3.863631,1.000000,observed_mask_median,da3_metric_sam2_mask_median
182,7.541667,444.417,93.704,35.098,3.598014,3.598014,1.000000,observed_mask_median,da3_metric_sam2_mask_median
183,7.583333,476.508,106.554,33.206,3.112056,3.112056,1.000000,observed_mask_median,da3_metric_sam2_mask_median
184,7.625000,509.340,123.390,30.130,2.784281,2.825267,1.000000,observed_mask_median,da3_metric_sam2_mask_median
185,7.666667,530.286,136.655,32.341,2.773652,2.784281,1.000000,observed_mask_median,da3_metric_sam2_mask_median
