frame,time,u,v,radius_px,bottom_v,X_raw,Y_raw,Z_raw,X,Y,Z
168,6.958333,501.643,438.071,46.305,484.376,-0.358554,0.569389,2.985423,-0.330788,0.430703,2.950993
169,7.000000,498.009,440.330,46.658,486.988,-0.365188,0.559271,2.962836,-0.341149,0.415913,2.951133
170,7.041667,495.539,460.114,47.085,507.199,-0.368171,0.503778,2.935967,-0.351510,0.386314,2.951273
171,7.083333,496.304,494.921,48.554,543.475,-0.355141,0.402512,2.847139,-0.361871,0.341932,2.951414
172,7.125000,496.732,550.273,47.785,598.058,-0.359782,0.269987,2.892958,-0.372232,0.282749,2.951554
173,7.166667,501.124,613.616,46.131,659.747,-0.361256,0.120000,2.996683,-0.382593,0.208775,2.951694
174,7.208333,503.000,603.000,45.804,648.804,-0.358921,0.143526,3.018077,-0.364600,0.120000,2.930985
175,7.250000,506.330,555.979,45.984,601.963,-0.348826,0.265671,3.006263,-0.345646,0.222656,2.925335
176,7.291667,510.359,519.020,48.559,567.579,-0.320372,0.342916,2.846846,-0.326693,0.308206,2.919685
177,7.333333,516.040,481.947,49.584,531.531,-0.300000,0.425549,2.787996,-0.307741,0.376636,2.914035
178,7.375000,521.756,461.834,47.709,509.543,-0.297413,0.492863,2.897567,-0.288787,0.427975,2.908385
179,7.416667,528.007,446.535,47.751,494.286,-0.281442,0.530876,2.895018,-0.269834,0.462189,2.902735
180,7.458333,536.559,439.568,46.803,486.371,-0.265216,0.559492,2.953657,-0.250882,0.479302,2.897085
181,7.500000,545.500,439.406,46.742,486.148,-0.242608,0.560638,2.957511,-0.231929,0.479305,2.891435
182,7.541667,556.715,446.460,48.602,495.062,-0.205633,0.521766,2.844327,-0.212975,0.462202,2.885785
183,7.583333,564.133,466.021,46.773,512.794,-0.194643,0.491984,2.955551,-0.194023,0.427980,2.880136
184,7.625000,575.471,498.418,49.509,547.927,-0.156406,0.386272,2.792220,-0.175070,0.376647,2.874485
185,7.666667,582.820,543.866,54.028,597.894,-0.127001,0.253020,2.558673,-0.156116,0.308208,2.868835
186,7.708333,588.129,614.693,46.689,661.382,-0.133319,0.120000,2.960869,-0.137164,0.222669,2.863185
187,7.750000,584.058,612.386,45.398,657.784,-0.147871,0.120000,3.045068,-0.144898,0.120000,2.996876
188,7.791667,576.929,564.432,47.308,611.740,-0.159984,0.236794,2.922127,-0.164337,0.209130,2.989201
189,7.833333,569.723,527.486,46.624,574.110,-0.180878,0.335358,2.964997,-0.183776,0.295231,2.981526
190,7.875000,560.617,501.315,45.635,546.950,-0.208742,0.411445,3.029254,-0.203215,0.378306,2.973851
191,7.916667,552.451,478.924,47.144,526.068,-0.222847,0.455269,2.932293,-0.222654,0.458353,2.966176
192,7.958333,546.731,465.269,46.508,511.777,-0.240653,0.496727,2.972392,-0.242093,0.535368,2.958501
