frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
137,5.666667,1,floor,,floor_support,boundary_000,511.000,563.000,0.082445,0.681514,1.000000,hand_floor_from_anchor_floor_candidates
138,5.708333,0,none,right,none,boundary_000,514.000,524.000,0.120969,0.290797,0.633305,hand_floor_from_anchor_floor_candidates
139,5.750000,0,none,right,none,boundary_004,504.000,477.000,0.034350,0.711883,0.029854,hand_floor_from_anchor_floor_candidates
140,5.791667,0,none,right,none,boundary_002,509.000,445.000,0.046760,0.880764,0.000000,hand_floor_from_anchor_floor_candidates
141,5.833333,0,none,right,none,boundary_001,517.000,423.000,0.086086,0.871574,0.000000,hand_floor_from_anchor_floor_candidates
142,5.875000,0,none,right,none,boundary_002,529.000,412.000,0.093467,0.779711,0.000000,hand_floor_from_anchor_floor_candidates
143,5.916667,0,none,right,none,boundary_002,542.000,411.000,0.088626,0.781405,0.000000,hand_floor_from_anchor_floor_candidates
144,5.958333,0,none,right,none,boundary_002,553.000,416.000,0.056069,0.925193,0.000000,hand_floor_from_anchor_floor_candidates
145,6.000000,0,none,right,none,boundary_056,566.000,441.000,0.000025,0.877011,0.000000,hand_floor_from_anchor_floor_candidates
146,6.041667,0,none,right,none,boundary_057,572.000,488.000,0.029115,0.520550,0.109570,hand_floor_from_anchor_floor_candidates
147,6.083333,0,none,right,none,boundary_058,578.000,541.000,1.837092,0.205349,1.000000,hand_floor_from_anchor_floor_candidates
148,6.125000,1,floor,,floor_support,boundary_000,580.000,584.000,0.147350,0.304060,1.000000,hand_floor_from_anchor_floor_candidates
149,6.166667,0,none,right,none,boundary_000,587.000,544.000,1.612950,0.215524,1.000000,hand_floor_from_anchor_floor_candidates
150,6.208333,0,none,right,none,boundary_061,582.000,506.000,0.069370,0.441776,0.426043,hand_floor_from_anchor_floor_candidates
151,6.250000,0,none,right,none,boundary_003,585.000,474.000,-0.004045,0.631676,0.000000,hand_floor_from_anchor_floor_candidates
152,6.291667,0,none,right,none,boundary_002,583.000,444.000,0.049091,0.739842,0.000000,hand_floor_from_anchor_floor_candidates
153,6.333333,0,none,right,none,boundary_002,587.000,422.000,0.073857,0.704662,0.000000,hand_floor_from_anchor_floor_candidates
154,6.375000,0,none,right,none,boundary_003,584.000,416.000,0.062291,0.612580,0.000000,hand_floor_from_anchor_floor_candidates
155,6.416667,0,none,right,none,boundary_003,582.000,410.000,0.064913,0.672170,0.000000,hand_floor_from_anchor_floor_candidates
156,6.458333,0,none,right,none,boundary_062,591.000,416.000,0.038307,0.755203,0.000000,hand_floor_from_anchor_floor_candidates
157,6.500000,0,none,right,none,boundary_000,596.000,434.000,-0.020211,0.872316,0.000000,hand_floor_from_anchor_floor_candidates
