frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,active_hand,active_hand_z,floor_window_weight,contact_depth_gap
89,3.666667,-0.373134,0.485178,3.688205,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.422,553.193,48.395,491.422,553.193,47.783,600.976,657.784,0.000000,0,0,right,3.683689,0.760067,0.004516
90,3.708333,-0.379818,0.393652,3.694052,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,489.000,516.500,47.846,489.000,516.500,47.707,564.207,657.784,0.000000,0,0,right,3.661640,0.333740,0.032412
91,3.750000,-0.376530,0.322050,3.713077,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.074,487.378,47.747,491.074,487.378,47.463,534.841,657.784,0.000000,0,0,right,3.637493,0.084658,0.075584
92,3.791667,-0.385528,0.258607,3.729776,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,488.198,461.827,48.546,488.198,461.827,47.250,509.077,657.784,0.000000,0,0,right,3.617464,0.000000,0.112312
93,3.833333,-0.379685,0.225936,3.760274,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.711,448.241,46.812,491.711,448.241,46.867,495.108,657.784,0.000000,0,0,right,3.605041,0.000000,0.155233
94,3.875000,-0.371964,0.204291,3.751787,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.398,439.968,47.409,494.398,439.968,46.973,486.941,657.784,0.000000,0,0,right,3.601308,0.000000,0.150478
95,3.916667,-0.358665,0.202092,3.708657,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.971,440.027,47.162,497.971,440.027,47.519,487.546,657.784,0.000000,0,0,right,3.592922,0.000000,0.115735
96,3.958333,-0.347738,0.221141,3.646301,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.943,449.068,50.747,499.943,449.068,48.332,497.400,657.784,0.000000,0,0,right,3.594339,0.000000,0.051961
97,4.000000,-0.328456,0.313905,3.682681,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.016,485.181,49.251,509.016,485.181,47.854,533.035,657.784,0.000000,0,0,right,3.596504,0.084658,0.086177
98,4.041667,-0.301855,0.481906,3.772909,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.503,547.582,45.926,522.503,547.582,46.710,594.292,657.784,0.000000,0,0,right,3.611172,0.333740,0.161737
99,4.083333,-0.274660,0.650334,3.800647,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.869,611.295,45.857,533.869,611.295,46.369,657.664,657.784,0.000000,0,0,right,3.627808,0.760067,0.172839
100,4.125000,-0.251986,0.632601,3.753864,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,541.417,607.489,45.464,541.417,607.489,46.947,654.436,657.784,0.000000,1,1,right,3.633972,1.000000,0.119892
101,4.166667,-0.243179,0.523855,3.712761,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,543.809,567.214,45.627,543.809,567.214,47.467,614.681,657.784,0.000000,0,0,right,3.638488,0.760067,0.074273
102,4.208333,-0.237075,0.428225,3.645760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.500,532.500,51.464,544.500,532.500,48.339,580.839,657.784,0.000000,0,0,right,3.606374,0.333740,0.039386
103,4.250000,-0.231970,0.348791,3.698376,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,547.886,498.503,47.812,547.886,498.503,47.651,546.154,657.784,0.000000,0,0,right,3.578824,0.084658,0.119552
104,4.291667,-0.212805,0.291073,3.763288,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,556.954,473.590,46.684,556.954,473.590,46.829,520.419,657.784,0.000000,0,0,right,3.562798,0.000000,0.200490
105,4.333333,-0.199228,0.254996,3.788181,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,562.763,458.857,47.149,562.763,458.857,46.522,505.379,657.784,0.000000,0,0,right,3.555878,0.000000,0.232304
106,4.375000,-0.185449,0.228771,3.793025,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,568.197,448.577,47.074,568.197,448.577,46.462,495.039,657.784,0.000000,0,0,right,3.545976,0.000000,0.247049
107,4.416667,-0.170916,0.222156,3.790356,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,573.777,446.076,47.171,573.777,446.076,46.495,492.571,657.784,0.000000,0,0,left,3.979220,0.000000,-0.188864
108,4.458333,-0.156951,0.236995,3.787622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.144,451.892,47.265,579.144,451.892,46.529,498.421,657.784,0.000000,0,0,left,3.972237,0.000000,-0.184615
109,4.500000,-0.138805,0.290203,3.783543,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.122,472.644,46.510,586.122,472.644,46.579,519.223,657.784,0.000000,0,0,left,3.972572,0.084658,-0.189030
