frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,da3_mask_depth_m,da3_depth_conf,residual_norm,source
67,2.750000,0.521812672,0.402058673,5.963373119,0.712399325,0.302764919,-0.267626473,0.573756636,0.202211476,0.831920430,0.051249707,-0.113200491,0.096187230,1468.604736328,1468.604736328,640.000000000,360.000000000,3.791402817,0.950793041,2.946954354,chair_metric_articulated_6d_sam2_cotracker_da3
68,2.791667,0.495754670,0.405863701,5.975635704,0.702267259,0.309989959,-0.273834543,0.579432106,0.179352825,0.852447942,0.052790881,-0.082722611,0.078841701,1468.604736328,1468.604736328,640.000000000,360.000000000,3.771160603,0.949144021,2.986593218,chair_metric_articulated_6d_sam2_cotracker_da3
69,2.833333,0.451754549,0.411357124,5.847608853,0.681493239,0.322931047,-0.283021523,0.592605537,0.130029521,0.886418714,0.058381712,-0.024903142,0.047758388,1468.604736328,1468.604736328,640.000000000,360.000000000,3.695470333,0.952599762,2.993645365,chair_metric_articulated_6d_sam2_cotracker_da3
70,2.875000,0.429846014,0.410386831,5.771388952,0.669591850,0.329863792,-0.297684747,0.595164199,0.109128711,0.920136037,0.047182165,-0.000277547,0.030480194,1468.604736328,1468.604736328,640.000000000,360.000000000,3.760914326,0.957047692,3.001259288,chair_metric_articulated_6d_sam2_cotracker_da3
71,2.916667,0.401297857,0.412827135,5.669732550,0.656035220,0.345167709,-0.318670933,0.590699483,0.096228174,0.977718836,0.039025142,-0.026117934,0.030697178,1468.604736328,1468.604736328,640.000000000,360.000000000,3.698851585,0.964981564,3.363027077,chair_metric_articulated_6d_sam2_cotracker_da3
72,2.958333,0.383913721,0.410062128,5.668876952,0.650562836,0.354517997,-0.331889961,0.583895573,0.098491164,1.014067710,0.033429625,-0.065312625,0.028085923,1468.604736328,1468.604736328,640.000000000,360.000000000,3.800944328,0.956639905,3.233620020,chair_metric_articulated_6d_sam2_cotracker_da3
73,3.000000,0.373665997,0.413227964,5.676440993,0.646721346,0.359363598,-0.349009553,0.575153577,0.106065629,1.049830743,0.015345012,-0.119832853,0.051597274,1468.604736328,1468.604736328,640.000000000,360.000000000,3.706852436,0.953142022,2.876455273,chair_metric_articulated_6d_sam2_cotracker_da3
74,3.041667,0.347537190,0.417640313,5.655533214,0.641666136,0.376089251,-0.362699439,0.561489592,0.119387179,1.100096023,0.019938149,-0.141976002,0.073694126,1468.604736328,1468.604736328,640.000000000,360.000000000,3.621347904,0.962487286,4.464853818,chair_metric_articulated_6d_sam2_cotracker_da3
75,3.083333,0.320059621,0.421245428,5.646144938,0.631837285,0.381249470,-0.366937537,0.566380907,0.097590192,1.115486612,0.021337940,-0.140706234,0.063299171,1468.604736328,1468.604736328,640.000000000,360.000000000,3.620799541,0.961635352,3.061579609,chair_metric_articulated_6d_sam2_cotracker_da3
76,3.125000,0.273796759,0.424423298,5.612221440,0.618833686,0.399634532,-0.364006234,0.569944358,0.073065225,1.141263069,0.053246581,-0.118022577,0.032417740,1468.604736328,1468.604736328,640.000000000,360.000000000,3.660567045,0.963651138,5.377439856,chair_metric_articulated_6d_sam2_cotracker_da3
