frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,line_rmse_px,endpoint_rmse_px,side_ratio_rmse_px,rail_rmse_px,source
73,3.000000,0.303001490,0.442083477,4.953859877,0.610413709,0.420173126,-0.388420140,0.547703792,0.094458965,1.217971365,0.047829026,-0.039820132,0.015634060,1468.604736328,1468.604736328,640.000000000,360.000000000,1.227990932,1.882160250,0.748790100,4.907891805,chair_twohand_endpoint_se3_contact_refined
74,3.041667,0.286388024,0.443014314,4.961914779,0.608004874,0.423619057,-0.392045950,0.545139378,0.094814780,1.230199436,0.047619082,-0.047861765,0.017921829,1468.604736328,1468.604736328,640.000000000,360.000000000,1.395092407,3.009473697,0.719794728,6.303915689,chair_twohand_endpoint_se3_contact_refined
75,3.083333,0.269906634,0.445383915,4.964892964,0.606010739,0.426442805,-0.394063650,0.543701534,0.094059070,1.238598296,0.048878063,-0.052866637,0.022725131,1468.604736328,1468.604736328,640.000000000,360.000000000,1.569664190,4.155540820,0.699505123,6.595052581,chair_twohand_endpoint_se3_contact_refined
76,3.125000,0.254956819,0.447033517,4.969187106,0.606789437,0.428519842,-0.393767437,0.541409761,0.098732705,1.241771940,0.052481124,-0.057788800,0.026932779,1468.604736328,1468.604736328,640.000000000,360.000000000,1.516248707,3.897416387,0.687330619,5.913464316,chair_twohand_endpoint_se3_contact_refined
77,3.166667,0.241607300,0.449317648,4.974063371,0.606782579,0.429659891,-0.393448636,0.540745273,0.099743128,1.243227872,0.054693688,-0.064619430,0.028064280,1468.604736328,1468.604736328,640.000000000,360.000000000,1.497152284,3.777790432,0.675753181,5.805350615,chair_twohand_endpoint_se3_contact_refined
78,3.208333,0.228034353,0.452220176,4.980327775,0.608278006,0.430980681,-0.391648822,0.539318756,0.104154595,1.242482217,0.059406008,-0.070728081,0.027898726,1468.604736328,1468.604736328,640.000000000,360.000000000,1.465481145,3.586584815,0.669037980,5.785962494,chair_twohand_endpoint_se3_contact_refined
79,3.250000,0.214347971,0.454307484,4.977480163,0.609652204,0.431869772,-0.389627571,0.538519309,0.107421661,1.240587900,0.063792250,-0.076367094,0.026276137,1468.604736328,1468.604736328,640.000000000,360.000000000,1.479391651,3.615432325,0.676722917,6.049117568,chair_twohand_endpoint_se3_contact_refined
80,3.291667,0.200406536,0.457767878,4.973817803,0.610933336,0.431189405,-0.388634057,0.538330498,0.109610558,1.237710663,0.064247012,-0.080758051,0.023917897,1468.604736328,1468.604736328,640.000000000,360.000000000,1.455321430,3.452099488,0.676389193,6.069055085,chair_twohand_endpoint_se3_contact_refined
81,3.333333,0.186045692,0.461735417,4.968095415,0.611118873,0.430439290,-0.388908412,0.538522041,0.109590814,1.236871897,0.062694232,-0.085380553,0.020050553,1468.604736328,1468.604736328,640.000000000,360.000000000,1.539084987,3.983546152,0.668707587,6.234221384,chair_twohand_endpoint_se3_contact_refined
82,3.375000,0.170404949,0.465540538,4.967848058,0.611577185,0.428780783,-0.388780642,0.539416351,0.108894593,1.233744303,0.060362371,-0.086731796,0.018009671,1468.604736328,1468.604736328,640.000000000,360.000000000,1.307900218,2.569820175,0.667497023,5.192774767,chair_twohand_endpoint_se3_contact_refined
83,3.416667,0.153396341,0.469504518,4.967956791,0.611808481,0.427543903,-0.388277141,0.540497415,0.107575796,1.230700979,0.059235591,-0.086491406,0.017304901,1468.604736328,1468.604736328,640.000000000,360.000000000,1.234305355,2.146400590,0.658702022,4.991483236,chair_twohand_endpoint_se3_contact_refined
84,3.458333,0.135069254,0.473175397,4.969686547,0.612017878,0.426304947,-0.387192088,0.542015217,0.105554965,1.226648383,0.058977137,-0.084789360,0.017963770,1468.604736328,1468.604736328,640.000000000,360.000000000,1.287295387,2.434152526,0.643345540,5.026443961,chair_twohand_endpoint_se3_contact_refined
85,3.500000,0.116030606,0.475248971,4.970427330,0.612104134,0.425778166,-0.386449443,0.542861226,0.104384259,1.224439858,0.059288376,-0.082135102,0.019706992,1468.604736328,1468.604736328,640.000000000,360.000000000,1.611329844,4.377350186,0.637630049,6.007644598,chair_twohand_endpoint_se3_contact_refined
