frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
161,6.666667,-0.384423,-22.0258,-0.392503,-22.4888,0,0.008079,0.4629,visible,-0.315762,-0.308086,4.0819
162,6.708333,-0.391991,-22.4594,-0.394617,-22.6099,0,0.002626,0.1505,visible,-0.317821,-0.315330,4.0787
163,6.750000,-0.398559,-22.8358,-0.397620,-22.7820,0,-0.000939,-0.0538,visible,-0.320709,-0.321598,4.0762
164,6.791667,-0.405205,-23.2165,-0.402540,-23.0639,0,-0.002664,-0.1527,visible,-0.325318,-0.327836,4.0790
165,6.833333,-0.413677,-23.7020,-0.410044,-23.4938,0,-0.003634,-0.2082,visible,-0.332237,-0.335662,4.0892
166,6.875000,-0.425175,-24.3607,-0.420798,-24.1100,0,-0.004377,-0.2508,visible,-0.342049,-0.346158,4.1082
167,6.916667,-0.440324,-25.2287,-0.435614,-24.9588,0,-0.004710,-0.2698,visible,-0.355414,-0.359813,4.1400
168,6.958333,-0.459230,-26.3119,-0.454861,-26.0616,0,-0.004369,-0.2503,visible,-0.372583,-0.376633,4.1866
169,7.000000,-0.481200,-27.5707,-0.478584,-27.4209,0,-0.002615,-0.1498,visible,-0.393504,-0.395907,4.2482
170,7.041667,-0.504284,-28.8933,-0.505557,-28.9663,0,0.001273,0.0729,visible,-0.416964,-0.415807,4.3232
171,7.083333,-0.525213,-30.0925,-0.532854,-30.5303,0,0.007641,0.4378,visible,-0.440300,-0.433427,4.4072
172,7.125000,-0.540629,-30.9757,-0.554048,-31.7446,0,0.013419,0.7689,visible,-0.457801,-0.445830,4.4993
173,7.166667,-0.549299,-31.4725,-0.554048,-31.7446,0,0.004749,0.2721,visible,-0.457801,-0.453574,4.4993
174,7.208333,-0.552830,-31.6748,-0.554048,-31.7446,0,0.001218,0.0698,visible,-0.457801,-0.456718,4.4993
175,7.250000,-0.553830,-31.7321,-0.554048,-31.7446,0,0.000218,0.0125,visible,-0.457801,-0.457608,4.4993
176,7.291667,-0.554022,-31.7431,-0.554048,-31.7446,0,0.000026,0.0015,visible,-0.457801,-0.457778,4.4993
177,7.333333,-0.554046,-31.7445,-0.554048,-31.7446,0,0.000002,0.0001,visible,-0.457801,-0.457799,4.4993
178,7.375000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
179,7.416667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
180,7.458333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
