frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
147,86,240,6.083333,anchor_contact_event,left_hand,0.664933,soft,0.000006,0.664933,0.000000,0.000000,0.000000,0.000000
148,86,240,6.125000,anchor_contact_event,left_hand,0.550706,soft,0.000036,0.550706,0.000000,0.000000,0.000000,0.000000
149,86,240,6.166667,anchor_contact_event,left_hand,0.552203,soft,0.000157,0.552203,0.034461,0.000000,0.000000,0.000000
150,86,240,6.208333,anchor_contact_event,left_hand,0.633812,soft,0.000523,0.633812,0.000000,0.000000,0.000000,0.000000
151,86,240,6.250000,anchor_contact_event,left_hand,0.649425,soft,0.001478,0.649425,0.000000,0.000000,0.000000,0.000000
152,86,240,6.291667,anchor_contact_event,left_hand,0.643913,soft,0.003574,0.643913,0.000000,0.000000,0.000000,0.000000
153,86,240,6.333333,anchor_contact_event,left_hand,0.693653,soft,0.007313,0.693653,0.000000,0.000000,0.000000,0.000000
154,86,240,6.375000,anchor_contact_event,left_hand,0.623031,soft,0.014252,0.623031,0.352210,0.000000,0.000000,0.000000
155,86,240,6.416667,anchor_contact_event,left_hand,0.610378,soft,0.024466,0.610378,0.000000,0.000000,0.000000,0.000000
156,86,240,6.458333,anchor_contact_event,left_hand,0.621748,soft,0.038299,0.621748,0.000000,0.000000,0.000000,0.000000
157,86,240,6.500000,anchor_contact_event,left_hand,0.628963,soft,0.048041,0.628963,0.000000,0.000000,0.000000,0.000000
158,86,240,6.541667,anchor_contact_event,left_hand,0.623438,soft,0.053880,0.623438,0.000000,0.000000,0.000000,0.000000
159,86,240,6.583333,anchor_contact_event,left_hand,0.489503,soft,0.062433,0.489503,0.000000,0.000000,0.000000,0.000000
160,86,240,6.625000,anchor_contact_event,left_hand,0.622101,soft,0.064013,0.622101,0.000000,0.000000,0.000000,0.000000
161,86,240,6.666667,anchor_contact_event,left_hand,0.476884,soft,0.090247,0.476884,0.000000,0.000000,0.000000,0.000000
162,86,240,6.708333,anchor_contact_event,left_hand,0.594000,soft,0.106289,0.594000,0.000000,0.000000,0.000000,0.000000
163,86,240,6.750000,anchor_contact_event,left_hand,0.595223,soft,0.135281,0.595223,0.000000,0.000000,0.000000,0.000000
164,86,240,6.791667,anchor_contact_event,left_hand,0.579580,soft,0.184895,0.579580,0.000000,0.000000,0.000000,0.000000
165,86,240,6.833333,anchor_contact_event,left_hand,0.489916,soft,0.298237,0.489916,0.000000,0.000000,0.000000,0.000000
166,86,240,6.875000,anchor_contact_event,left_hand,0.498207,soft,0.400947,0.498207,0.000000,0.000000,0.000000,0.000000
167,86,240,6.916667,anchor_contact_event,left_hand,0.487458,soft,0.496675,0.487458,0.000000,0.000000,0.000000,0.000000
168,86,240,6.958333,anchor_contact_event,left_hand,0.487236,soft,0.574521,0.487236,0.000000,0.000000,0.000000,0.000000
169,86,240,7.000000,anchor_contact_event,left_hand,0.489790,soft,0.635110,0.489790,0.000000,0.000000,0.000000,0.000000
170,86,240,7.041667,anchor_contact_event,left_hand,0.491677,soft,0.681147,0.491677,0.000000,0.000000,0.000000,0.000000
171,86,240,7.083333,anchor_contact_event,left_hand,0.499556,soft,0.712952,0.499556,0.000000,0.000000,0.000000,0.000000
172,86,240,7.125000,anchor_contact_event,left_hand,0.502151,soft,0.737140,0.502151,0.000000,0.000000,0.000000,0.000000
173,86,240,7.166667,anchor_contact_event,left_hand,0.493422,soft,0.758530,0.493422,0.000000,0.000000,0.000000,0.000000
174,86,240,7.208333,anchor_contact_event,left_hand,0.500899,soft,0.768631,0.500899,0.000000,0.000000,0.000000,0.000000
175,86,240,7.250000,anchor_contact_event,left_hand,0.504660,soft,0.776345,0.504660,0.000000,0.000000,0.000000,0.000000
176,86,240,7.291667,anchor_contact_event,left_hand,0.506737,soft,0.782006,0.506737,0.000000,0.000000,0.000000,0.000000
177,86,240,7.333333,anchor_contact_event,left_hand,0.509401,soft,0.785514,0.509401,0.000000,0.000000,0.000000,0.000000
178,86,240,7.375000,anchor_contact_event,left_hand,0.498739,soft,0.792942,0.498739,0.000000,0.000000,0.000000,0.000000
179,86,240,7.416667,anchor_contact_event,left_hand,0.506274,soft,0.792209,0.506274,0.000000,0.000000,0.000000,0.000000
180,86,240,7.458333,anchor_contact_event,left_hand,0.507894,soft,0.793145,0.507894,0.000000,0.000000,0.000000,0.000000
181,86,240,7.500000,anchor_contact_event,left_hand,0.523558,soft,0.788007,0.523558,0.000000,0.000000,0.000000,0.000000
182,86,240,7.541667,anchor_contact_event,left_hand,0.520556,soft,0.789975,0.520556,0.000000,0.000000,0.000000,0.000000
183,86,240,7.583333,anchor_contact_event,left_hand,0.518811,soft,0.791212,0.518811,0.000000,0.000000,0.000000,0.000000
184,86,240,7.625000,anchor_contact_event,left_hand,0.622502,soft,0.750161,0.622502,0.000000,0.000000,0.000000,0.000000
185,86,240,7.666667,anchor_contact_event,left_hand,0.514774,soft,0.793470,0.514774,0.000000,0.000000,0.000000,0.000000
186,86,240,7.708333,anchor_contact_event,left_hand,0.641361,soft,0.743049,0.641361,0.000000,0.000000,0.000000,0.000000
187,86,240,7.750000,anchor_contact_event,left_hand,0.533176,soft,0.786428,0.533176,0.000000,0.000000,0.000000,0.000000
188,86,240,7.791667,anchor_contact_event,left_hand,0.523673,soft,0.790319,0.523673,0.000000,0.000000,0.000000,0.000000
189,86,240,7.833333,anchor_contact_event,left_hand,0.533112,soft,0.785609,0.533112,0.000000,0.000000,0.000000,0.000000
190,86,240,7.875000,anchor_contact_event,left_hand,0.639978,soft,0.742793,0.639978,0.000000,0.000000,0.000000,0.000000
191,86,240,7.916667,anchor_contact_event,left_hand,0.642991,soft,0.741566,0.642991,0.000000,0.000000,0.000000,0.000000
192,86,240,7.958333,anchor_contact_event,left_hand,0.532278,soft,0.785790,0.532278,0.000000,0.000000,0.000000,0.000000
193,86,240,8.000000,anchor_contact_event,left_hand,0.647410,soft,0.737246,0.647410,0.000000,0.000000,0.000000,0.000000
194,86,240,8.041667,anchor_contact_event,left_hand,0.527177,soft,0.784703,0.527177,0.000000,0.000000,0.000000,0.000000
195,86,240,8.083333,anchor_contact_event,left_hand,0.540820,soft,0.779253,0.540820,0.000000,0.000000,0.000000,0.000000
196,86,240,8.125000,anchor_contact_event,left_hand,0.646261,soft,0.735420,0.646261,0.000000,0.000000,0.000000,0.000000
197,86,240,8.166667,anchor_contact_event,left_hand,0.560069,soft,0.770353,0.560069,0.000000,0.000000,0.000000,0.000000
198,86,240,8.208333,anchor_contact_event,left_hand,0.531890,soft,0.782068,0.531890,0.000000,0.000000,0.000000,0.000000
199,86,240,8.250000,anchor_contact_event,left_hand,0.529990,soft,0.783239,0.529990,0.000000,0.000000,0.000000,0.000000
200,86,240,8.291667,anchor_contact_event,left_hand,0.640010,soft,0.739762,0.640010,0.000000,0.000000,0.000000,0.000000
201,86,240,8.333333,anchor_contact_event,left_hand,0.627956,soft,0.744503,0.627956,0.000000,0.000000,0.000000,0.000000
202,86,240,8.375000,anchor_contact_event,left_hand,0.527054,soft,0.785460,0.527054,0.000000,0.000000,0.000000,0.000000
203,86,240,8.416667,anchor_contact_event,left_hand,0.532584,soft,0.783881,0.532584,0.000000,0.000000,0.000000,0.000000
204,86,240,8.458333,anchor_contact_event,left_hand,0.525050,soft,0.781963,0.525050,0.000000,0.000000,0.000000,0.000000
205,86,240,8.500000,anchor_contact_event,left_hand,0.530205,soft,0.777279,0.530205,0.000000,0.000000,0.000000,0.000000
206,86,240,8.541667,anchor_contact_event,left_hand,0.537945,soft,0.769903,0.537945,0.000000,0.000000,0.000000,0.000000
207,86,240,8.583333,anchor_contact_event,left_hand,0.536857,soft,0.769193,0.536857,0.000000,0.000000,0.000000,0.000000
208,86,240,8.625000,anchor_contact_event,left_hand,0.537436,soft,0.751480,0.537436,0.000000,0.000000,0.000000,0.000000
