frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
49,2.000000,0.749707,-0.148917,3.913455,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,921.343,304.116,,921.343,304.116,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.025279,3.988444,921.343,304.116,949.286,273.327,-0.038669,-0.038669,3.874786,3.733740,3.428988,3.733740,-0.113658,0.516400,0.000000,
50,2.041667,0.761768,-0.188819,3.845259,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,930.939,287.885,,930.939,287.885,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.006216,3.959968,930.939,287.885,959.417,253.631,0.048148,0.048148,3.893407,3.739762,3.576284,3.739762,-0.066561,0.550749,0.000000,
51,2.083333,0.758827,-0.204962,3.816994,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,931.962,281.140,,931.962,281.140,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.006284,3.951099,931.962,281.140,960.924,245.423,0.021187,0.021187,3.838181,3.745784,3.576284,3.745784,-0.112918,0.565129,0.000000,
52,2.125000,0.747073,-0.200485,3.828042,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,926.610,283.085,,926.610,283.085,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.015371,3.956913,926.610,283.085,956.252,247.614,4.394187,0.000000,3.828042,3.751806,3.576284,3.751806,-0.128870,0.561030,0.000000,
53,2.166667,0.711927,-0.164281,3.876732,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,909.696,297.766,,909.696,297.766,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.021435,3.975028,909.696,297.766,942.517,263.715,4.512528,0.000000,3.876732,3.757827,3.576284,3.757827,-0.098297,0.521618,0.000000,
54,2.208333,0.657552,-0.092973,3.959670,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,883.880,325.517,,883.880,325.517,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.024992,3.975783,883.880,325.517,919.176,295.460,4.616126,0.000000,3.959670,3.763849,3.536964,3.763849,-0.016113,0.467634,0.000000,
55,2.250000,0.583332,0.035721,4.071361,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,850.417,372.885,,850.417,372.885,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.028561,3.987581,850.417,372.885,883.555,339.660,1.623910,0.000000,4.071361,3.769871,3.429320,3.769871,0.083780,0.433302,0.000000,
56,2.291667,0.446458,0.190876,4.203038,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,795.999,426.695,,795.999,426.695,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.008772,3.981991,795.999,426.695,817.293,404.159,-0.051503,-0.051503,4.151535,3.775893,3.388022,3.775893,0.169544,0.431516,0.000000,
57,2.333333,0.304414,0.446533,4.339665,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.018,511.113,,743.018,511.113,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.011232,3.965951,743.018,511.113,765.079,469.749,0.064727,0.064727,4.404392,3.781915,3.385274,3.781915,0.438440,0.569173,0.000000,
58,2.375000,0.121795,0.625967,4.458565,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,680.118,566.187,,680.118,566.187,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.113327,3.766735,680.118,566.187,634.114,571.336,0.362605,0.362605,4.821170,3.787937,3.364673,3.787937,1.054434,0.767558,0.000000,
