frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
85,3.500000,2.109260493,120.851724,2.254125,129.1519,0,0.216965,12.4312,hidden,0.540596,0.346821,18.1239,2.109260493,120.851724,smooth_entry_physical_phase_no_hide
86,3.541667,2.007128640,115.000000,2.239640,128.3219,0,0.213163,12.2134,hidden,0.413191,0.211190,27.2726,2.007128640,115.000000,smooth_entry_physical_phase_no_hide
87,3.583333,1.918279112,109.909297,2.268656,129.9844,0,0.168893,9.6768,hidden,0.297586,0.132876,32.7029,1.918279112,109.909297,smooth_entry_physical_phase_no_hide
88,3.625000,1.829429584,104.818594,2.325553,133.2443,0,0.105887,6.0669,hidden,0.203698,0.099084,35.0024,1.829429584,104.818594,smooth_entry_physical_phase_no_hide
89,3.666667,1.745329252,100.000000,2.394884,137.2168,0,0.048040,2.7525,visible,0.061369,0.013367,39.2649,1.745329252,100.000000,smooth_entry_physical_phase_no_hide
90,3.708333,1.661192204,95.179302,2.461262,141.0199,0,0.014725,0.8437,visible,-0.052870,-0.067568,42.0107,1.661192204,95.179302,smooth_entry_physical_phase_no_hide
91,3.750000,1.573251318,90.140661,2.522474,144.5271,0,0.003511,0.2012,visible,-0.154653,-0.158121,44.3696,1.573251318,90.140661,smooth_entry_physical_phase_no_hide
92,3.791667,1.487783972,85.243742,2.582288,147.9542,0,0.002593,0.1486,visible,-0.246375,-0.248887,46.3089,1.487783972,85.243742,smooth_entry_physical_phase_no_hide
93,3.833333,1.411067542,80.848215,2.644377,151.5117,0,0.003231,0.1852,visible,-0.333401,-0.336445,47.9636,1.411067542,80.848215,smooth_entry_physical_phase_no_hide
94,3.875000,1.349379405,77.313745,2.710469,155.2984,0,0.000667,0.0382,visible,-0.421288,-0.421893,49.6175,1.349379405,77.313745,smooth_entry_physical_phase_no_hide
