frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
178,7.375000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
179,7.416667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
180,7.458333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
181,7.500000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
182,7.541667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
183,7.583333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
184,7.625000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
185,7.666667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
186,7.708333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
187,7.750000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
188,7.791667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
189,7.833333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
190,7.875000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
191,7.916667,-0.057402,-0.059482,3.997671,0.028945,0.004692,0.000169,1.219385,0.05
192,7.958333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
193,8.000000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
194,8.041667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
195,8.083333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
196,8.125000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
197,8.166667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
198,8.208333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
199,8.250000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
200,8.291667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
201,8.333333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
202,8.375000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
203,8.416667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
204,8.458333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
205,8.500000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
206,8.541667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
207,8.583333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
