frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
172,5.700000,0.252524,0.000000,0.206583,0.000000,0.000000,0.045941,
173,5.733333,0.205500,0.000000,0.184144,0.000000,0.000000,0.021356,
174,5.766667,0.166365,0.000000,0.154834,0.000000,0.000000,0.011531,
175,5.800000,0.150749,0.000000,0.125920,0.000000,0.000000,0.024829,
176,5.833333,0.084643,0.000000,0.066712,0.000000,0.000000,0.017931,
177,5.866667,0.163877,0.000000,0.017504,0.000000,0.000000,0.146373,
178,5.900000,0.149691,0.000000,0.016296,0.000000,0.000000,0.133395,
179,5.933333,0.142164,0.000000,0.013643,0.000000,0.000000,0.128521,
180,5.966667,0.019317,0.000000,0.005350,0.000000,0.000000,0.013967,
181,6.000000,0.139138,0.000000,0.103913,0.000000,0.000000,0.035225,
182,6.033333,0.173257,0.000000,0.157731,0.000000,0.000000,0.015526,
183,6.066667,0.277172,0.000000,0.204385,0.000000,0.000000,0.072787,
184,6.100000,0.322888,0.000000,0.260242,0.000000,0.000000,0.062646,
185,6.133333,0.307898,0.000000,0.286825,0.000000,0.000000,0.021073,
186,6.166667,0.334940,0.000000,0.312689,0.000000,0.000000,0.022251,
187,6.200000,0.271598,0.000000,0.245693,0.000000,0.000000,0.025905,
188,6.233333,0.248917,0.000000,0.233864,0.000000,0.000000,0.015053,
189,6.266667,0.344565,0.000000,0.334731,0.000000,0.000000,0.009834,
190,6.300000,0.297288,0.000000,0.266100,0.000000,0.000000,0.031188,
191,6.333333,0.374143,0.000000,0.347935,0.000000,0.000000,0.026208,
192,6.366667,0.329341,0.000000,0.318780,0.000000,0.000000,0.010561,
193,6.400000,0.396684,0.000000,0.341556,0.000000,0.000000,0.055128,
194,6.433333,0.322784,0.000000,0.320025,0.000000,0.000000,0.002759,
195,6.466667,0.388685,0.000000,0.312768,0.000000,0.000000,0.075917,
196,6.500000,0.338038,0.000000,0.320912,0.000000,0.000000,0.017126,
197,6.533333,0.295450,0.000000,0.280246,0.000000,0.000000,0.015204,
198,6.566667,0.418022,0.000000,0.314042,0.000000,0.000000,0.103980,
199,6.600000,0.438920,0.000000,0.323239,0.000000,0.000000,0.115681,
200,6.633333,0.225561,0.000000,0.196582,0.000000,0.000000,0.028979,
201,6.666667,0.068858,0.000000,0.036539,0.000000,0.000000,0.032319,
202,6.700000,0.276109,0.000000,0.117658,0.000000,0.000000,0.158451,
203,6.733333,0.192821,0.000000,0.014970,0.000000,0.000000,0.177851,
204,6.766667,0.584877,0.000000,0.061673,0.000000,0.000000,0.523204,
205,6.800000,0.868129,0.000000,0.820959,0.000000,0.000000,0.047170,
206,6.833333,2.068239,0.000000,1.513746,0.000000,0.273900,0.280593,
207,6.866667,2.721995,0.000000,1.980278,0.000000,0.672750,0.068967,
208,6.900000,2.737193,0.000000,2.620358,0.000000,0.000000,0.116835,
209,6.933333,3.286757,0.000000,3.153777,0.000000,0.000000,0.132980,
210,6.966667,3.687766,0.000000,3.585579,0.000000,0.000000,0.102187,
211,7.000000,3.831580,0.000000,3.734722,0.000000,0.000000,0.096858,
212,7.033333,4.007529,0.000000,3.934838,0.000000,0.000000,0.072691,
213,7.066667,4.259180,0.000000,4.197016,0.000000,0.000000,0.062164,
214,7.100000,4.333570,0.000000,4.274952,0.000000,0.000000,0.058618,
215,7.133333,4.259610,0.000000,4.204490,0.000000,0.000000,0.055120,
216,7.166667,4.270303,0.000000,4.243613,0.000000,0.000000,0.026690,
217,7.200000,5.312947,0.000000,4.288686,0.000000,0.918000,0.106261,
218,7.233333,5.199823,0.000000,4.292527,0.000000,0.888950,0.018346,
219,7.266667,5.081546,0.000000,4.325381,0.000000,0.701850,0.054315,
220,7.300000,5.298000,0.000000,4.241416,0.000000,1.048800,0.007784,
221,7.333333,4.172286,0.000000,4.142935,0.000000,0.000000,0.029351,
222,7.366667,4.144697,0.000000,4.112961,0.000000,0.000000,0.031736,
223,7.400000,5.168787,0.000000,4.167898,0.000000,0.965250,0.035639,
224,7.433333,5.129705,0.000000,4.169272,0.000000,0.941500,0.018933,
225,7.466667,5.105355,0.000000,4.320130,0.000000,0.738800,0.046425,
226,7.500000,5.297013,0.000000,4.271734,0.000000,1.008150,0.017129,
227,7.533333,5.713818,0.000000,4.285321,0.000000,1.401500,0.026997,
228,7.566667,5.869852,0.000000,4.322425,0.000000,1.531100,0.016327,
229,7.600000,5.875088,0.000000,4.308528,0.000000,1.548950,0.017610,
230,7.633333,5.705050,0.000000,4.293104,0.000000,1.399750,0.012196,
231,7.666667,5.612465,0.000000,4.226164,0.000000,1.375850,0.010451,
232,7.700000,5.663880,0.000000,4.233155,0.000000,1.419600,0.011125,
233,7.733333,5.632060,0.000000,4.211257,0.000000,1.412500,0.008303,
234,7.766667,5.639396,0.000000,4.234194,0.000000,1.401650,0.003552,
235,7.800000,5.640821,0.000000,4.218781,0.000000,1.418600,0.003440,
236,7.833333,5.638478,0.000000,4.228058,0.000000,1.407300,0.003120,
237,7.866667,5.643621,0.000000,4.225584,0.000000,1.412150,0.005887,
238,7.900000,5.595598,0.000000,4.228744,0.000000,1.360450,0.006404,
239,7.933333,5.563366,0.000000,4.228062,0.000000,1.325800,0.009504,
240,7.966667,5.494397,0.000000,4.248687,0.000000,1.243250,0.002460,
241,8.000000,5.429322,0.000000,4.244966,0.000000,1.179650,0.004706,
242,8.033333,5.458145,0.000000,4.301345,0.000000,1.156800,0.000000,
