frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
86,3.541667,-0.013231,-0.025001,4.048001,0.289111,0.064688,3.976973,-0.329917,0.204996,3.715984,-0.388174,0.302225,3.971111,0.717755,0.279172
87,3.583333,-0.016241,-0.025198,4.037835,0.283240,0.061082,3.962610,-0.323311,0.228586,3.718698,-0.395936,0.133379,3.966326,0.683023,0.275060
88,3.625000,-0.017911,-0.025343,4.036997,0.278828,0.058693,3.959159,-0.323234,0.234519,3.719773,-0.394195,0.120162,3.961541,0.675828,0.276703
89,3.666667,-0.018397,-0.025596,4.046095,0.277248,0.057701,3.968264,-0.329941,0.223051,3.719111,-0.393204,0.276065,3.951967,0.705304,0.247052
90,3.708333,-0.018422,-0.026311,4.049109,0.275394,0.057957,3.970825,-0.337717,0.194918,3.706742,-0.391140,0.381833,3.953534,0.741257,0.314161
91,3.750000,-0.020245,-0.027227,4.053445,0.273487,0.060966,3.973511,-0.342845,0.150219,3.693973,-0.385584,0.461326,3.955100,0.771363,0.408413
92,3.791667,-0.021998,-0.028658,4.052825,0.273551,0.064059,3.972174,-0.343029,0.103014,3.682670,-0.383962,0.521283,3.956667,0.801010,0.501696
93,3.833333,-0.022351,-0.030016,4.050792,0.274412,0.067027,3.968591,-0.339296,0.063325,3.675821,-0.380233,0.555544,3.958234,0.816894,0.568958
94,3.875000,-0.022997,-0.030223,4.051373,0.274512,0.069023,3.969527,-0.334748,0.046026,3.674454,-0.372129,0.577765,3.959801,0.822835,0.604620
95,3.916667,-0.022345,-0.030574,4.045707,0.274936,0.069416,3.965102,-0.324757,0.053176,3.666392,-0.368741,0.577382,3.961368,0.819977,0.603106
96,3.958333,-0.022529,-0.030246,4.046758,0.274992,0.068458,3.969554,-0.311821,0.089808,3.665036,-0.356233,0.553069,3.962935,0.795824,0.552564
97,4.000000,-0.022666,-0.028875,4.038149,0.271769,0.066817,3.962989,-0.298365,0.149215,3.658987,-0.352944,0.462235,3.964502,0.739341,0.440795
98,4.041667,-0.023584,-0.027844,4.033018,0.268514,0.064524,3.959351,-0.287128,0.201089,3.661262,-0.320922,0.304149,3.966069,0.636317,0.323529
99,4.083333,-0.023108,-0.027573,4.031492,0.265328,0.062292,3.958043,-0.271274,0.232944,3.667546,-0.281250,0.120000,3.967635,0.549699,0.320795
100,4.125000,-0.021759,-0.027781,4.033911,0.262855,0.060622,3.960037,-0.259343,0.241993,3.670690,-0.258185,0.120041,3.969202,0.524498,0.322465
101,4.166667,-0.019021,-0.028594,4.049027,0.262877,0.059836,3.976814,-0.252644,0.233569,3.678990,-0.237812,0.235746,3.964566,0.530833,0.285969
102,4.208333,-0.016842,-0.030158,4.043112,0.263958,0.060436,3.972517,-0.245384,0.208052,3.656251,-0.230545,0.335134,3.971773,0.565678,0.340476
103,4.250000,-0.014861,-0.031612,4.048187,0.264786,0.063211,3.981902,-0.238165,0.162652,3.640866,-0.214275,0.412432,3.978980,0.592843,0.421049
104,4.291667,-0.014768,-0.031790,4.054100,0.269248,0.067169,3.991139,-0.230628,0.118534,3.633279,-0.205146,0.467869,3.986187,0.620995,0.497221
105,4.333333,-0.012600,-0.032123,4.060183,0.273476,0.070698,4.000541,-0.221334,0.078986,3.631533,-0.192225,0.512817,3.993394,0.642183,0.565686
106,4.375000,-0.009488,-0.032334,4.060914,0.275489,0.073061,4.001732,-0.208806,0.052102,3.624129,-0.181739,0.539340,4.000600,0.653050,0.616330
107,4.416667,-0.007423,-0.031834,4.061058,0.277898,0.075149,4.003254,-0.193202,0.046810,3.616888,-0.173866,0.547054,4.007807,0.653304,0.635166
108,4.458333,-0.006044,-0.031520,4.051619,0.279881,0.075651,3.996259,-0.173244,0.069014,3.600231,-0.160002,0.532608,4.015014,0.634554,0.622206
109,4.500000,-0.003153,-0.030369,4.049263,0.282616,0.075648,3.996589,-0.150428,0.118145,3.591214,-0.144963,0.475321,4.022221,0.585849,0.559796
110,4.541667,-0.002793,-0.030112,4.046743,0.283758,0.073201,3.995023,-0.136394,0.178009,3.588609,-0.129132,0.363378,4.029428,0.505831,0.478264
111,4.583333,-0.000968,-0.029817,4.061021,0.287540,0.069033,4.011324,-0.130795,0.219247,3.612144,-0.111419,0.218626,4.036635,0.426833,0.424934
112,4.625000,-0.000664,-0.029589,4.065592,0.286666,0.067792,4.015492,-0.129378,0.238532,3.627957,-0.103660,0.120000,4.043842,0.394821,0.433211
113,4.666667,-0.002188,-0.030454,4.067286,0.285400,0.066903,4.018248,-0.133422,0.237869,3.634023,-0.122848,0.167250,4.036724,0.420805,0.408983
114,4.708333,-0.004519,-0.031830,4.061846,0.283140,0.067034,4.014694,-0.141858,0.218185,3.626255,-0.131043,0.289058,4.037197,0.470477,0.417149
115,4.750000,-0.007363,-0.032192,4.047776,0.281555,0.069853,3.999981,-0.152620,0.181851,3.605276,-0.143097,0.393063,4.037671,0.534991,0.481318
116,4.791667,-0.010141,-0.032790,4.048413,0.281153,0.072717,4.003165,-0.164097,0.130688,3.602514,-0.152230,0.468529,4.038144,0.587972,0.551408
117,4.833333,-0.012170,-0.033248,4.049958,0.281324,0.075175,4.006660,-0.176513,0.085139,3.606309,-0.162918,0.524240,4.038618,0.632480,0.616348
118,4.875000,-0.013494,-0.033222,4.051777,0.281734,0.077674,4.006647,-0.181356,0.054030,3.609250,-0.169306,0.557170,4.039091,0.659095,0.661859
119,4.916667,-0.014713,-0.032736,4.055964,0.280972,0.079131,4.009178,-0.179549,0.039100,3.613077,-0.172241,0.574654,4.039564,0.672212,0.684663
