frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
128,5.291667,generic_sequence_executor,0.15621178940501768,0.276255022,0.857758611,4.311839066,0.679345700,0.731072986,-0.049603688,0.039511817,generic-solve-93755e7aab23
129,5.333333,generic_sequence_executor,0.2603529823416957,0.304469195,0.856981869,4.321853988,0.676009552,0.722347193,-0.113640528,0.091167145,generic-solve-93755e7aab23
130,5.375,generic_sequence_executor,0.3644941752783737,0.333727345,0.855888532,4.335647593,0.671662126,0.708677524,-0.167557573,0.136274046,generic-solve-93755e7aab23
131,5.416667,generic_sequence_executor,0.46863536821505214,0.364394689,0.854230853,4.345018306,0.670322403,0.690048424,-0.211986311,0.171938513,generic-solve-93755e7aab23
132,5.458333,generic_sequence_executor,0.5727765611517306,0.399201407,0.849883843,4.353394303,0.675029959,0.665610421,-0.249976883,0.196999695,generic-solve-93755e7aab23
133,5.5,generic_sequence_executor,0.6769177540884086,0.435483667,0.841991067,4.371583582,0.684421925,0.636919532,-0.283522383,0.213342908,generic-solve-93755e7aab23
134,5.541667,generic_sequence_executor,0.7810589470250866,0.466947366,0.833163162,4.404340568,0.693200964,0.608972239,-0.312921073,0.225179124,generic-solve-93755e7aab23
135,5.583333,generic_sequence_executor,0.885200139961765,0.490638757,0.826004148,4.446594143,0.696962067,0.586289434,-0.338549727,0.236416283,generic-solve-93755e7aab23
136,5.625,generic_sequence_executor,0.9893413328984435,0.506612672,0.820322019,4.494332743,0.694691431,0.569715682,-0.361746978,0.248931681,generic-solve-93755e7aab23
137,5.666667,generic_sequence_executor,1.024055063877336,0.516147231,0.816296121,4.533173597,0.687524761,0.557347017,-0.383978773,0.263124129,generic-solve-93755e7aab23
138,5.708333,generic_sequence_executor,1.024055063877336,0.521904779,0.815988721,4.538456571,0.677067455,0.546736198,-0.406107082,0.278812175,generic-solve-93755e7aab23
139,5.75,generic_sequence_executor,1.024055063877336,0.523264162,0.817922391,4.526367839,0.664199065,0.536839094,-0.428067980,0.295636929,generic-solve-93755e7aab23
140,5.791667,generic_sequence_executor,1.024055063877336,0.516743472,0.817723882,4.540328884,0.649261537,0.528288479,-0.448770967,0.313010158,generic-solve-93755e7aab23
141,5.833333,generic_sequence_executor,1.0587687948562285,0.504047638,0.815342835,4.579711889,0.633573823,0.521680441,-0.466665010,0.329632365,generic-solve-93755e7aab23
142,5.875,generic_sequence_executor,1.0587687948562285,0.490155995,0.813401150,4.615959338,0.619559269,0.516927960,-0.480528147,0.343546935,generic-solve-93755e7aab23
143,5.916667,generic_sequence_executor,1.0587687948562285,0.476744203,0.814930598,4.635845205,0.609012158,0.514553845,-0.489431611,0.353263683,generic-solve-93755e7aab23
144,5.958333,generic_sequence_executor,1.024055063877336,0.461896255,0.822706977,4.649176379,0.601777306,0.516548733,-0.492036915,0.359083772,generic-solve-93755e7aab23
145,6.0,generic_sequence_executor,0.9893413328984435,0.442559505,0.831653584,4.683022189,0.596454374,0.524842427,-0.487075947,0.362683924,generic-solve-93755e7aab23
146,6.041667,generic_sequence_executor,0.9199138709406576,0.418239990,0.833725747,4.736740701,0.592058611,0.538973464,-0.475068592,0.365080865,generic-solve-93755e7aab23
147,6.083333,generic_sequence_executor,0.885200139961765,0.392012597,0.830441160,4.774852896,0.588297908,0.556659253,-0.458231552,0.366141902,generic-solve-93755e7aab23
148,6.125,generic_sequence_executor,0.8504864089828725,0.366639461,0.826956007,4.784202258,0.585230080,0.575871235,-0.438597969,0.365390059,generic-solve-93755e7aab23
149,6.166667,generic_sequence_executor,0.8157726780039796,0.342154535,0.824428671,4.782178730,0.583914211,0.595027723,-0.417397354,0.361615337,generic-solve-93755e7aab23
150,6.208333,generic_sequence_executor,0.7463452160461941,0.318859995,0.823061505,4.781457684,0.586322013,0.612917815,-0.395098125,0.352782824,generic-solve-93755e7aab23
151,6.25,generic_sequence_executor,0.7116314850673016,0.299019422,0.822675344,4.783951374,0.593745991,0.629497315,-0.370778818,0.337226774,generic-solve-93755e7aab23
152,6.291667,generic_sequence_executor,0.6074902921306231,0.278677039,0.822523550,4.787838245,0.605846936,0.645674090,-0.342436685,0.314311274,generic-solve-93755e7aab23
153,6.333333,generic_sequence_executor,0.5033490991939447,0.245746768,0.822598346,4.789057235,0.620841923,0.662127481,-0.308581168,0.284464705,generic-solve-93755e7aab23
154,6.375,generic_sequence_executor,0.39920790625726665,0.200291383,0.822462188,4.791628346,0.636119254,0.678648845,-0.269574196,0.249234413,generic-solve-93755e7aab23
155,6.416667,generic_sequence_executor,0.29506671332058865,0.156695918,0.820862217,4.808682422,0.649408177,0.694271216,-0.227565373,0.210880295,generic-solve-93755e7aab23
156,6.458333,generic_sequence_executor,0.1909255203839102,0.120109506,0.817592199,4.844630408,0.659800555,0.707744595,-0.185129710,0.171720138,generic-solve-93755e7aab23
157,6.5,generic_sequence_executor,0.08678432744723175,0.089264252,0.814100232,4.885555379,0.667564189,0.718075452,-0.144267838,0.133837552,generic-solve-93755e7aab23
