frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source
57,2.333333,-0.067591,0.118679,2.219772,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,595.282,438.518,475.234,475.234,595.282,438.518,475.234,2.219772,,0,0,translation3_from_stage1_observation_backproject_uvz
58,2.375000,-0.058177,0.119014,2.249830,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,602.024,437.688,474.542,474.542,602.024,437.688,474.542,2.249830,,0,0,translation3_from_stage1_observation_backproject_uvz
59,2.416667,-0.051722,0.135061,2.283468,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,606.735,446.864,482.725,482.725,606.735,446.864,482.725,2.283468,,0,0,translation3_from_stage1_observation_backproject_uvz
60,2.458333,-0.040564,0.175042,2.309989,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.211,471.285,614.211,471.285,507.724,507.724,614.211,471.285,507.724,2.309989,,0,0,translation3_from_stage1_observation_backproject_uvz
61,2.500000,-0.034739,0.247721,2.327808,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.083,516.286,618.083,516.286,554.132,554.132,618.083,516.286,554.132,2.327808,,0,0,translation3_from_stage1_observation_backproject_uvz
62,2.541667,-0.033178,0.349957,2.371496,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.454,576.719,619.454,576.719,612.291,612.291,619.454,576.719,612.291,2.371496,,0,0,translation3_from_stage1_observation_backproject_uvz
63,2.583333,-0.030864,0.424430,2.377511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,620.935,622.173,620.935,622.173,660.670,660.670,620.935,622.173,660.670,2.377511,,0,0,translation3_from_stage1_observation_backproject_uvz
64,2.625000,-0.043722,0.366792,2.395269,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,613.193,584.890,613.193,584.890,617.907,617.907,613.193,584.890,617.907,2.395269,,0,0,translation3_from_stage1_observation_backproject_uvz
65,2.666667,-0.041511,0.287320,2.390704,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.500,536.500,614.500,536.500,578.000,578.000,614.500,536.500,578.000,2.390704,,0,0,translation3_from_stage1_observation_backproject_uvz
66,2.708333,-0.047170,0.236090,2.377294,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,610.860,505.848,610.860,505.848,543.740,543.740,610.860,505.848,543.740,2.377294,,0,0,translation3_from_stage1_observation_backproject_uvz
67,2.750000,-0.058250,0.193752,2.368054,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,603.875,480.160,603.875,480.160,518.492,518.492,603.875,480.160,518.492,2.368054,,0,0,translation3_from_stage1_observation_backproject_uvz
68,2.791667,-0.064760,0.162596,2.359840,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.698,461.189,599.698,461.189,498.244,498.244,599.698,461.189,498.244,2.359840,,0,0,translation3_from_stage1_observation_backproject_uvz
69,2.833333,-0.068650,0.142402,2.324368,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,596.625,449.974,596.625,449.974,485.739,485.739,596.625,449.974,485.739,2.324368,,0,0,translation3_from_stage1_observation_backproject_uvz
70,2.875000,-0.075136,0.134102,2.316429,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.364,445.020,592.364,445.020,480.373,480.373,592.364,445.020,480.373,2.316429,,0,0,translation3_from_stage1_observation_backproject_uvz
71,2.916667,-0.079629,0.135630,2.308897,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,589.351,446.269,589.351,446.269,480.715,480.715,589.351,446.269,480.715,2.308897,,0,0,translation3_from_stage1_observation_backproject_uvz
72,2.958333,-0.090282,0.157545,2.299368,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.337,460.624,582.337,460.624,494.643,494.643,582.337,460.624,494.643,2.299368,,0,0,translation3_from_stage1_observation_backproject_uvz
73,3.000000,-0.100324,0.205681,2.303560,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.040,491.129,576.040,491.129,527.702,527.702,576.040,491.129,527.702,2.303560,,0,0,translation3_from_stage1_observation_backproject_uvz
74,3.041667,-0.111276,0.274867,2.267112,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,567.917,538.055,567.917,538.055,576.333,576.333,567.917,538.055,576.333,2.267112,,0,0,translation3_from_stage1_observation_backproject_uvz
75,3.083333,-0.123278,0.371313,2.247831,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.457,602.595,559.457,602.595,641.587,641.587,559.457,602.595,641.587,2.247831,,0,0,translation3_from_stage1_observation_backproject_uvz
76,3.125000,-0.140064,0.393512,2.242368,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.267,617.725,548.267,617.725,652.696,652.696,548.267,617.725,652.696,2.242368,,0,0,translation3_from_stage1_observation_backproject_uvz
77,3.166667,-0.159914,0.325773,2.245639,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.419,573.049,535.419,573.049,606.722,606.722,535.419,573.049,606.722,2.245639,,0,0,translation3_from_stage1_observation_backproject_uvz
78,3.208333,-0.177667,0.265889,2.283249,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.723,531.022,525.723,531.022,567.526,567.526,525.723,531.022,567.526,2.283249,,0,0,translation3_from_stage1_observation_backproject_uvz
79,3.250000,-0.190440,0.216307,2.318720,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.381,497.002,519.381,497.002,532.073,532.073,519.381,497.002,532.073,2.318720,,0,0,translation3_from_stage1_observation_backproject_uvz
80,3.291667,-0.201575,0.178716,2.336989,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.327,472.308,513.327,472.308,505.264,505.264,513.327,472.308,505.264,2.336989,,0,0,translation3_from_stage1_observation_backproject_uvz
81,3.333333,-0.218498,0.153232,2.378373,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,505.081,454.618,505.081,454.618,487.356,487.356,505.081,454.618,487.356,2.378373,,0,0,translation3_from_stage1_observation_backproject_uvz
82,3.375000,-0.221974,0.142320,2.396071,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.947,447.231,503.947,447.231,479.685,479.685,503.947,447.231,479.685,2.396071,,0,0,translation3_from_stage1_observation_backproject_uvz
83,3.416667,-0.225950,0.146318,2.412232,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.438,449.081,502.438,449.081,481.247,481.247,502.438,449.081,481.247,2.412232,,0,0,translation3_from_stage1_observation_backproject_uvz
84,3.458333,-0.231644,0.171106,2.418711,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.349,463.893,499.349,463.893,495.752,495.752,499.349,463.893,495.752,2.418711,,0,0,translation3_from_stage1_observation_backproject_uvz
85,3.500000,-0.239776,0.221167,2.386651,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,492.456,496.093,492.456,496.093,532.318,532.318,492.456,496.093,532.318,2.386651,,0,0,translation3_from_stage1_observation_backproject_uvz
86,3.541667,-0.228498,0.297237,2.338537,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.503,546.665,496.503,546.665,583.748,583.748,496.503,546.665,583.748,2.338537,,0,0,translation3_from_stage1_observation_backproject_uvz
87,3.583333,-0.229445,0.389660,2.296236,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.254,609.215,493.254,609.215,636.929,636.929,493.254,609.215,636.929,2.296236,,0,0,translation3_from_stage1_observation_backproject_uvz
88,3.625000,-0.228435,0.381579,2.295018,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.822,604.176,493.822,604.176,632.258,632.258,493.822,604.176,632.258,2.295018,,0,0,translation3_from_stage1_observation_backproject_uvz
89,3.666667,-0.230086,0.308652,2.313316,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.930,555.947,493.930,555.947,591.960,591.960,493.930,555.947,591.960,2.313316,,0,0,translation3_from_stage1_observation_backproject_uvz
90,3.708333,-0.231186,0.249185,2.338945,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.840,516.461,494.840,516.461,554.777,554.777,494.840,516.461,554.777,2.338945,,0,0,translation3_from_stage1_observation_backproject_uvz
91,3.750000,-0.230834,0.205358,2.372182,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.092,487.136,497.092,487.136,523.565,523.565,497.092,487.136,523.565,2.372182,,0,0,translation3_from_stage1_observation_backproject_uvz
92,3.791667,-0.233688,0.172423,2.411810,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.702,464.992,497.702,464.992,500.826,500.826,497.702,464.992,500.826,2.411810,,0,0,translation3_from_stage1_observation_backproject_uvz
93,3.833333,-0.234486,0.153793,2.443566,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.072,452.431,499.072,452.431,487.869,487.869,499.072,452.431,487.869,2.443566,,0,0,translation3_from_stage1_observation_backproject_uvz
94,3.875000,-0.230225,0.140861,2.454904,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.272,444.268,502.272,444.268,480.346,480.346,502.272,444.268,480.346,2.454904,,0,0,translation3_from_stage1_observation_backproject_uvz
