frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
117,4.833333,-0.157777,0.278837,4.033304,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.599,461.457,46.812,582.550,461.530,43.694,505.224,657.784,0.087754,0,0
118,4.875000,-0.163527,0.244564,4.033152,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.438,449.076,46.150,580.454,449.054,43.696,492.750,657.784,0.027404,0,0
119,4.916667,-0.165221,0.225947,4.033001,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.739,442.167,46.405,579.835,442.278,43.698,485.975,657.784,0.146755,0,0
120,4.958333,-0.163855,0.222545,4.032850,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.244,440.936,46.422,580.330,441.042,43.699,484.741,657.784,0.136752,0,0
121,5.000000,-0.161298,0.239408,4.032699,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.182,447.211,46.908,581.259,447.186,43.701,490.887,657.784,0.081289,0,0
122,5.041667,-0.163075,0.299128,4.032547,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.675,468.898,49.009,580.610,468.939,43.703,512.641,657.784,0.076605,0,0
123,5.083333,-0.167569,0.414666,4.032396,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.000,511.000,47.011,578.971,511.022,43.704,554.726,657.784,0.036332,0,0
124,5.125000,-0.175192,0.577313,4.032245,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.139,570.328,45.296,576.192,570.266,43.706,613.972,657.784,0.081697,0,0
125,5.166667,-0.185858,0.697686,4.032093,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,572.270,620.270,47.889,572.305,614.117,43.707,657.825,657.784,6.152912,1,1
126,5.208333,-0.202165,0.632249,4.024230,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.252,590.610,44.323,566.222,590.733,43.793,634.526,657.784,0.127099,0,0
127,5.250000,-0.237532,0.505214,4.019681,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,553.052,544.569,47.318,553.217,544.582,43.842,588.424,657.784,0.165153,0,0
128,5.291667,-0.250610,0.387487,4.015132,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.335,501.674,51.457,548.335,501.730,43.892,545.622,657.784,0.056184,0,0
129,5.333333,-0.280973,0.320508,4.010583,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,537.156,477.370,48.480,537.113,477.364,43.942,521.306,657.784,0.043583,0,0
130,5.375000,-0.290770,0.266185,4.006034,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.415,457.539,47.394,533.404,457.583,43.992,501.575,657.784,0.045066,0,0
131,5.416667,-0.307771,0.240606,4.001485,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.171,448.310,47.342,527.043,448.306,44.042,492.348,657.784,0.127703,0,0
132,5.458333,-0.322218,0.244517,3.996936,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.543,449.775,47.188,521.606,449.843,44.092,493.935,657.784,0.093270,0,0
133,5.500000,-0.335715,0.274838,3.992387,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.500,461.000,47.437,516.507,461.099,44.142,505.242,657.784,0.099571,0,0
134,5.541667,-0.353587,0.348132,3.987838,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.706,488.059,48.610,509.784,488.207,44.193,532.399,657.784,0.167194,0,0
135,5.583333,-0.358409,0.472865,3.983289,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,507.812,534.264,52.033,507.858,534.341,44.243,578.584,657.784,0.089775,0,0
136,5.625000,-0.355442,0.651933,3.978740,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.746,600.662,47.420,508.802,600.637,44.294,644.930,657.784,0.061018,0,0
137,5.666667,-0.354444,0.685712,3.974191,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.979,606.485,45.401,509.020,613.395,44.344,657.739,657.784,6.910262,1,1
