frame,time,anchor_type,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
197,6.533333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19375354717030988,6.676189577430473e-293,0,0,0,0
198,6.566667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.3500000000035299,2.7211552858652075e-238,0,0,0,0
199,6.6,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.217298069682687,2.6500945737870422e-238,0,0,0,0
200,6.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20740682085327153,5.344074478116113e-183,0,0,0,0
201,6.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18435358043222333,2.3003803923762846e-126,0,0,0,0
202,6.7,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.3715443998807681,1.7736942750168847e-81,0,0,0,0
203,6.733333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2519781083315948,1.552677915348334e-81,0,0,0,0
204,6.766667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.25151186154004096,5.165407215396797e-37,0,0,0,0
205,6.8,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.27010377304937017,1.162853878713868e-08,0,0,0,0
206,6.833333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.5086816978674674,0.9331822076243083,0,1,0,0
207,6.866667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21899583892697583,0.6554898862232519,0,1,0,0
208,6.9,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2592529516621004,0.004254150752537368,0,0,0,0
209,6.933333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20322225404077088,0.003907791083129017,0,0,0,0
210,6.966667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.12078629687723522,7.259936178547002e-06,0,0,0,0
211,7.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.12857232257254042,5.5264409783092084e-08,0,0,0,0
