frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
56,2.291667,hammer,594.201,46.765,tracking,1,594.201,46.765,,1,593.899,64.011,427.5,586.000,47.000,603.000,80.000,17.000,33.000,16.311,35.571,16.906,0.515152,0.725653,0,,,,,,,,,,,,0.000000,0.725653,0.725653,,,,,,,,,,,,
57,2.333333,hammer,595.083,46.298,tracking,1,595.083,46.298,,1,595.360,67.557,462.5,586.000,51.000,605.000,85.000,19.000,34.000,16.696,33.999,19.055,0.558824,0.722356,0,,,,,,,,,,,,0.000000,0.722356,0.722356,,,,,,,,,,,,
58,2.375000,hammer,595.686,48.792,tracking,1,595.686,48.792,,1,596.748,77.714,401.0,589.000,62.000,605.000,95.000,16.000,33.000,16.378,33.626,17.160,0.484848,0.690034,0,,,,,,,,,,,,0.000000,0.690034,0.690034,,,,,,,,,,,,
59,2.416667,hammer,594.387,41.691,tracking,1,594.387,41.691,,1,592.374,16.693,617.0,572.000,0.000,604.000,42.000,32.000,42.000,25.402,48.653,33.314,0.761905,0.410363,0,,,,,,,,,,,,0.000000,0.410363,0.410363,,,,,,,,,,,,
60,2.458333,hammer,595.518,42.004,tracking,1,595.518,42.004,,1,594.918,24.199,1236.0,575.000,0.000,616.000,64.000,41.000,64.000,33.493,75.742,35.958,0.640625,0.426151,0,,,,,,,,,,,,0.000000,0.426151,0.426151,,,,,,,,,,,,
61,2.500000,hammer,599.120,68.352,tracking,1,599.120,68.352,,1,600.143,43.022,1563.0,577.000,14.000,623.000,94.000,46.000,80.000,39.953,79.264,40.968,0.575000,0.389672,0,,,,,,,,,,,,0.000000,0.389672,0.389672,,,,,,,,,,,,
62,2.541667,hammer,603.290,110.375,tracking,1,603.290,110.375,,1,606.055,80.322,1509.5,586.000,53.000,630.000,129.000,44.000,76.000,38.626,82.761,40.519,0.578947,0.388546,0,,,,,,,,,,,,0.000000,0.388546,0.388546,,,,,,,,,,,,
63,2.583333,hammer,610.890,156.292,tracking,1,610.890,156.292,,1,615.937,131.243,1807.0,594.000,100.000,640.000,180.000,46.000,80.000,39.929,82.560,44.695,0.575000,0.383933,0,,,,,,,,,,,,0.000000,0.383933,0.383933,,,,,,,,,,,,
64,2.625000,hammer,622.858,196.755,tracking,1,622.858,196.755,,1,623.068,196.066,2561.5,591.000,151.000,648.000,242.000,57.000,91.000,45.277,83.167,48.456,0.626374,0.413411,0,,,,,,,,,,,,0.000000,0.413411,0.413411,,,,,,,,,,,,
65,2.666667,hammer,628.364,270.019,tracking,1,628.364,270.019,,1,628.384,269.974,2331.5,603.000,228.000,649.000,308.000,46.000,80.000,40.206,77.432,45.358,0.575000,0.554214,0,,,,,,,,,,,,0.000000,0.554214,0.554214,,,,,,,,,,,,
66,2.708333,hammer,628.459,295.987,tracking,1,628.459,295.987,,1,628.533,295.832,1634.5,601.000,260.000,649.000,335.000,48.000,75.000,37.128,69.140,43.901,0.640000,0.364945,0,,,,,,,,,,,,0.000000,0.364945,0.364945,,,,,,,,,,,,
