frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
90,3.708333,-0.120523,-0.225760,3.606501,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,590.922,268.068,29.699,590.922,268.068,40.721,308.789,331.589,0.000038,0,0,0
91,3.750000,-0.119081,-0.237556,3.604273,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.479,263.205,29.992,591.479,263.205,40.746,303.951,331.589,0.000118,0,0,0
92,3.791667,-0.115642,-0.259780,3.602045,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.851,254.084,30.008,592.851,254.084,40.771,294.855,331.589,0.000062,0,0,0
93,3.833333,-0.111980,-0.286499,3.599816,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.316,243.118,29.986,594.316,243.118,40.797,283.915,331.589,0.000065,0,0,0
94,3.875000,-0.107722,-0.317742,3.597588,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,596.026,230.292,30.378,596.026,230.292,40.822,271.114,331.589,0.000297,0,0,0
95,3.916667,-0.107949,-0.357247,3.595360,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,595.906,214.074,31.977,595.906,214.075,40.847,254.922,331.589,0.000730,0,0,0
96,3.958333,-0.118034,-0.378444,3.593132,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.756,205.321,32.469,591.756,205.320,40.873,246.193,331.589,0.000679,0,0,0
97,4.000000,-0.117040,-0.424532,3.590903,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.133,186.375,32.962,592.133,186.375,40.898,227.273,331.589,0.000103,0,0,0
98,4.041667,-0.115426,-0.476857,3.588675,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.764,164.854,38.581,592.764,164.854,40.923,205.778,331.589,0.000317,0,0,0
99,4.083333,-0.119075,-0.526222,3.586447,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.240,144.519,38.269,591.240,144.519,40.949,185.467,331.589,0.000330,0,0,0
100,4.125000,-0.116390,-0.590745,3.584218,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.310,117.947,41.049,592.310,117.947,40.974,158.921,331.589,0.000139,0,0,0
101,4.166667,-0.113328,-0.659723,3.581990,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.536,89.515,38.965,593.536,89.515,41.000,130.515,331.589,0.000485,0,0,0
102,4.208333,-0.115850,-0.708205,3.579762,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.472,69.458,40.808,592.472,69.457,41.025,110.483,331.589,0.000656,0,0,0
103,4.250000,-0.116503,-0.759059,3.577533,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,592.175,48.400,40.389,592.175,48.400,41.051,89.451,331.589,0.000521,0,0,0
104,4.291667,-0.125515,-0.770213,3.575305,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,588.443,43.624,32.136,588.443,43.624,41.076,84.701,331.589,0.000433,0,0,0
105,4.333333,-0.133373,-0.749306,3.573077,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,585.181,52.021,21.738,585.181,52.020,41.102,93.122,331.589,0.000560,0,0,0
106,4.375000,-0.136935,-0.748014,3.570848,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,583.682,52.360,18.255,583.682,52.360,41.128,93.487,331.589,0.000169,0,0,0
107,4.416667,-0.138074,-0.760638,3.568620,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,583.178,46.972,17.464,583.178,46.972,41.153,88.126,331.589,0.000288,0,0,0
108,4.458333,-0.138932,-0.764127,3.566392,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,582.789,45.340,16.194,582.789,45.340,41.179,86.519,331.589,0.000069,0,0,0
109,4.500000,-0.137326,-0.764718,3.564164,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,583.415,44.900,15.788,583.415,44.900,41.205,86.104,331.589,0.000277,0,0,0
110,4.541667,-0.133855,-0.775202,3.561935,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,584.811,40.380,15.207,584.811,40.380,41.231,81.611,331.589,0.000135,0,0,0
111,4.583333,-0.129389,-0.779805,3.559707,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,586.619,38.281,15.137,586.619,38.281,41.256,79.537,331.589,0.000036,0,0,0
112,4.625000,-0.123278,-0.776582,3.557479,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,589.108,39.410,15.297,589.108,39.410,41.282,80.692,331.589,0.000080,0,0,0
113,4.666667,-0.116595,-0.766822,3.555250,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,591.837,43.241,15.661,591.837,43.241,41.308,84.549,331.589,0.000178,0,0,0
114,4.708333,-0.111746,-0.759929,3.553022,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.811,45.891,16.621,593.811,45.891,41.334,87.225,331.589,0.000267,0,0,0
115,4.750000,-0.108484,-0.747101,3.550794,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,595.131,51.000,15.977,595.131,51.000,41.360,92.360,331.589,0.000301,0,0,0
