frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
72,2.958333,3.625514269,3.793551989,3.812285368,1,continuous_keep,1.084369,3.793551989,3.806575441,0.031196452,-0.018173000,left_hand,rim_contact_keep_previous_grasp_anchor,0,0,0.75,167
73,3.000000,3.622314809,3.810805147,3.811239763,1,continuous_keep,1.084369,3.810805147,3.807042551,0.031651404,-0.035414000,left_hand,rim_contact_keep_previous_grasp_anchor,0,0,0.75,167
74,3.041667,3.620067460,3.815808727,3.810578079,1,continuous_keep,1.084369,3.815808727,3.805814981,0.033480255,-0.043474000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
75,3.083333,3.617820243,3.789866564,3.810295573,1,continuous_keep,1.084369,3.789866564,3.805057573,0.036396009,-0.021205000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
76,3.125000,3.616848724,3.796357677,3.810482616,1,continuous_keep,1.084369,3.796357677,3.804803562,0.037737885,-0.029292000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
77,3.166667,3.614336487,3.807589554,3.811115115,1,continuous_keep,1.084369,3.807589554,3.804857159,0.038127604,-0.040860000,left_hand,rim_contact_keep_previous_grasp_anchor,0,0,0.75,167
78,3.208333,3.612063191,3.815659233,3.812093593,1,continuous_keep,1.084369,3.815659233,3.804446173,0.038504940,-0.049718000,left_hand,rim_contact_keep_previous_grasp_anchor,0,0,0.75,167
79,3.250000,3.611136226,3.813738622,3.813324494,1,continuous_keep,1.084369,3.813738622,3.804714823,0.038937200,-0.047961000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
80,3.291667,3.610261622,3.817687471,3.814776879,1,continuous_keep,1.084369,3.817687471,3.804415321,0.039707850,-0.052980000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
81,3.333333,3.610518916,3.820849461,3.816447618,1,continuous_keep,1.084369,3.820849461,3.803991222,0.040879761,-0.057738000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
