frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
52,2.125000,-0.183760,0.437540,3.565753,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,47.868,564.316,540.207,49.424,589.631,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.282445,3.660060,3.547344,-0.094307
53,2.166667,-0.166350,0.354944,3.579622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,44.883,571.752,505.622,49.232,554.854,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.229896,3.629781,3.555309,-0.050158
54,2.208333,-0.148729,0.290949,3.595288,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,46.847,579.247,478.847,49.018,527.865,658.417,floor,ball_contact_events,0.428931,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.168322,3.595288,3.563275,0.000000
55,2.250000,-0.139885,0.242034,3.582459,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,46.945,582.655,459.220,49.193,508.413,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.108950,3.578041,3.571240,0.004418
56,2.291667,-0.121515,0.205435,3.569220,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,47.220,590.001,444.529,49.376,493.905,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.068091,3.565777,3.579206,0.003443
57,2.333333,-0.108246,0.190064,3.554965,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,46.387,595.282,438.518,49.574,488.092,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.041986,3.554059,3.587171,0.000906
58,2.375000,-0.091522,0.187228,3.539340,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,47.670,602.024,437.688,49.792,487.480,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.046884,3.539736,3.595137,-0.000396
59,2.416667,-0.079786,0.208342,3.522427,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,47.035,606.735,446.864,50.032,496.896,658.417,floor,ball_contact_events,0.428931,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.082655,3.522427,3.603103,0.000000
60,2.458333,-0.062245,0.268599,3.544650,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.211,471.285,46.761,614.211,471.285,49.718,521.003,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.149066,3.515331,3.611068,0.029319
61,2.500000,-0.053168,0.379130,3.562645,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.083,516.286,46.388,618.083,516.286,49.467,565.753,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.233198,3.529446,3.619033,0.033199
62,2.541667,-0.049994,0.527331,3.573482,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.454,576.719,46.101,619.454,576.719,49.317,626.036,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.296408,3.565840,3.626999,0.007643
63,2.583333,-0.046414,0.638263,3.575336,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,620.935,622.173,46.303,620.935,622.173,49.291,671.464,658.417,floor,ball_contact_events,0.428931,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.319635,3.588305,3.634964,-0.012969
64,2.625000,-0.065118,0.546286,3.567428,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,613.193,584.890,47.080,613.193,584.890,49.400,634.290,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.318141,3.595595,3.627037,-0.028167
65,2.666667,-0.062383,0.429883,3.550156,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.194,537.831,46.239,614.194,537.831,49.641,587.472,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.288897,3.568808,3.622788,-0.018652
