frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
110,4.541667,0.1327038907582945,0.30230945809240206,2.9586230874275,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
111,4.583333,0.1302853709566826,0.21707233115047841,2.930281233101523,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
112,4.625,0.12653802213328544,0.13032680258643647,2.8707364710634673,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
113,4.666667,0.1196155122901288,0.0624979960355605,2.788023605008301,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
114,4.708333,0.11518601258349502,0.010227058172390946,2.7045453930770225,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
115,4.75,0.11062452101664437,-0.0252423073096523,2.6480992122691043,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
116,4.791667,0.11530521248531836,-0.051185763572361376,2.647298855886044,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
117,4.833333,0.15799436710213954,-0.06807647096863784,2.879632776426227,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
118,4.875,0.15442262550458777,-0.11628540210569764,2.8584586908513088,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
119,4.916667,0.1667295762443019,-0.15948255039529885,2.825587066809611,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
120,4.958333,0.18561559924610457,-0.19066679569752762,2.799240912023031,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
121,5.0,0.20515523926534365,-0.20900176921795563,2.781989171378219,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
122,5.041667,0.22198342022551193,-0.21610439448007554,2.7725900120067704,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
123,5.083333,0.23860117462968544,-0.21508863642369658,2.7696667170868863,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
