frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
184,0,0,0,0,0.006222,0.057651,0.046430,0.000261,1,0.025662,0.000000,0.507744,0,0,0.000000
185,0,0,0,0,0.063313,0.019374,0.046231,0.000225,1,0.017721,0.000000,0.444276,0,0,0.000000
186,0,0,0,0,0.043953,0.020472,0.046057,0.032805,1,0.017160,0.000000,0.444276,0,0,0.000000
187,0,0,0,0,0.023878,0.023845,0.013274,0.000469,1,0.020046,0.000000,0.444276,0,0,0.000000
188,0,0,0,0,0.000697,0.013891,0.012819,0.012574,1,0.018407,0.000000,0.507744,0,0,0.000000
189,0,0,0,0,0.014022,0.009030,0.000825,0.000268,1,0.018690,0.000000,0.444276,0,0,0.000000
190,0,0,0,0,0.005740,0.028756,0.000748,0.021459,1,0.019581,0.000000,0.507744,0,0,0.000000
191,0,0,0,0,0.024917,0.024188,0.021517,0.000382,1,0.014220,0.000000,0.444276,0,0,0.000000
192,0,0,0,0,0.041896,0.009326,0.021889,0.007952,1,0.008691,0.000000,0.444276,0,0,0.000000
193,0,0,0,0,0.051201,0.048958,0.029834,0.000379,1,0.028782,0.000000,0.444276,0,0,0.000000
194,0,0,0,0,0.002673,0.002663,0.030203,0.000300,1,0.006572,0.000000,0.507744,0,0,0.000000
195,0,0,0,0,0.001574,0.068600,0.030499,0.016521,1,0.029576,0.000000,0.507744,0,0,0.000000
196,0,0,0,0,0.069775,0.007612,0.047020,0.010662,1,0.010341,0.000000,0.444276,0,0,0.000000
197,0,0,0,0,0.075570,0.016556,0.057681,0.014075,1,0.013216,0.000000,0.444276,0,0,0.000000
198,0,0,0,0,0.092125,0.081851,0.071755,0.000289,1,0.032237,0.000000,0.444276,0,0,0.000000
199,0,0,0,0,0.011056,0.094854,0.072034,0.022610,1,0.030885,0.000000,0.507744,0,0,0.000000
200,0,0,0,0,0.105345,0.022790,0.094644,0.006020,1,0.022410,0.000000,0.444276,0,0,0.000000
201,0,0,0,0,0.127943,0.024746,0.100664,0.002040,1,0.020836,0.000000,0.495050,0,0,0.000000
202,0,0,0,1,0.150042,0.143774,0.102207,0.000250,1,0.058436,0.000000,0.495050,0,0,0.000000
203,0,0,0,1,0.006290,0.154932,0.102420,0.037107,1,0.044366,0.000000,0.507744,0,0,0.000000
204,0,0,0,0,0.161166,0.032043,0.139523,0.021395,1,0.030709,0.000000,0.495050,0,0,0.000000
205,1,0,0,0,0.190897,0.019497,0.160918,0.005975,1,0.021170,0.000000,0.495050,0,0,0.000000
206,1,1,0,1,0.174154,0.218800,0.161452,0.192794,1,0.036825,0.000000,0.545825,0,0,0.000000
207,0,0,0,0,0.045703,0.018740,0.032825,0.000221,1,0.027978,0.000000,0.444276,0,0,0.000000
208,0,0,0,0,0.064249,0.059289,0.033017,0.000139,1,0.029627,0.000000,0.444276,0,0,0.000000
209,0,0,0,0,0.005551,0.041172,0.032897,0.000820,1,0.028738,0.000000,0.507744,0,0,0.000000
210,0,0,0,0,0.046431,0.012474,0.032124,0.000294,1,0.022303,0.000000,0.444276,0,0,0.000000
211,0,0,0,0,0.034680,0.030134,0.031854,0.025650,1,0.017215,0.000000,0.444276,0,0,0.000000
212,0,0,0,0,0.014836,0.015111,0.010487,0.013296,1,0.010835,0.000000,0.444276,0,0,0.000000
213,0,0,0,0,0.016312,0.015401,0.012616,0.003535,1,0.010161,0.000000,0.444276,0,0,0.000000
214,0,0,0,0,0.000924,0.027681,0.015226,0.021360,1,0.021209,0.000000,0.507744,0,0,0.000000
215,0,0,0,0,0.028605,0.028416,0.034656,0.000148,1,0.023101,0.000000,0.444276,0,0,0.000000
216,0,0,0,0,0.056941,0.011251,0.034800,0.000213,1,0.000863,0.000000,0.444276,0,0,0.000000
217,0,0,0,0,0.058603,0.056575,0.034588,0.014775,1,0.024595,0.000000,0.444276,0,0,0.000000
218,0,0,0,0,0.002793,0.009901,0.020732,0.017275,1,0.007891,0.000000,0.507744,0,0,0.000000
219,0,0,0,0,0.012490,0.029132,0.009356,0.000368,1,0.016767,0.000000,0.558518,0,0,0.000000
220,0,0,0,0,0.022360,0.004178,0.009274,0.000877,1,0.003989,0.000000,0.444276,0,0,0.000000
221,0,0,0,0,0.020512,0.016015,0.009116,0.000988,1,0.018781,0.000000,0.444276,0,0,0.000000
222,0,0,0,0,0.012128,0.022659,0.008895,0.001242,1,0.017820,0.000000,0.444276,0,0,0.000000
223,0,0,0,0,0.021242,0.024849,0.008710,0.000343,1,0.006624,0.000000,0.444276,0,0,0.000000
224,0,0,0,0,0.011681,0.014778,0.008626,0.000501,1,0.007912,0.000000,0.507744,0,0,0.000000
225,0,0,0,0,0.012426,0.026829,0.008594,0.000226,1,0.021627,0.000000,0.444276,0,0,0.000000
