frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,visible_fraction,occlusion_state,vlm_visibility,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
41,1.666667,560.544,5.371,560.544,5.371,560.544,5.371,vlm_single_identity_visible_mask,center,560.544,10.542,10.542,5.171,5.171,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.957703,3.895924,3.895924,3.895924,1.000000,0.000000,,,13.552
42,1.708333,560.634,4.147,560.634,4.147,560.634,4.147,vlm_single_identity_visible_mask,center,560.634,7.733,7.733,3.586,3.586,cotracker_bottom,,,stage2_contact_policy,3.924377,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.062391,3.924377,3.924377,3.924377,1.000000,0.000000,,,11.604
43,1.750000,560.283,4.855,560.283,4.855,560.283,4.855,vlm_single_identity_visible_mask,center,560.283,8.190,8.190,3.335,3.335,cotracker_bottom,,,stage2_contact_policy,3.924377,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.895924,3.924377,3.924377,3.924377,1.000000,0.000000,,,12.679
44,1.791667,559.905,7.527,559.905,7.527,559.905,7.527,vlm_single_identity_visible_mask,center,559.905,12.331,12.331,4.804,4.804,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.745707,3.895924,3.895924,3.895924,1.000000,0.000000,,,16.737
45,1.833333,559.842,12.996,559.842,12.996,559.842,12.996,vlm_single_identity_visible_mask,center,559.842,21.832,21.832,8.836,8.836,cotracker_bottom,,,stage2_contact_policy,3.745707,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.258322,3.745707,3.745707,3.745707,1.000000,0.000000,,,23.152
46,1.875000,558.588,21.385,558.588,21.385,558.588,21.385,vlm_single_identity_visible_mask,center,558.588,37.988,37.988,16.603,16.603,cotracker_bottom,,,stage2_contact_policy,3.724450,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.724450,3.724450,3.724450,3.724450,1.000000,0.000000,,,30.288
47,1.916667,557.073,35.255,557.073,35.255,557.073,35.255,vlm_single_identity_visible_mask,center,557.073,59.631,59.631,24.376,24.376,cotracker_bottom,,,stage2_contact_policy,3.705799,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.705799,3.705799,3.705799,3.705799,1.000000,0.000000,,,35.030
48,1.958333,556.079,62.788,556.079,62.788,556.079,62.788,vlm_single_identity_visible_mask,center,556.079,85.766,85.766,22.978,22.978,cotracker_bottom,,,stage2_contact_policy,3.693232,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.693232,3.693232,3.693232,3.693232,1.000000,0.000000,,,35.107
49,2.000000,555.708,93.574,555.708,93.574,555.708,93.574,vlm_single_identity_visible_mask,center,555.708,120.926,120.926,27.352,27.352,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.104563,3.484004,3.484004,3.484004,1.000000,0.000000,,,35.301
50,2.041667,555.404,115.445,555.404,115.445,555.404,115.445,vlm_single_identity_visible_mask,center,555.404,134.740,134.740,19.295,19.295,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.866089,3.484004,3.484004,3.484004,1.000000,0.000000,,,34.866
51,2.083333,556.653,94.432,556.653,94.432,556.653,94.432,vlm_single_identity_visible_mask,center,556.653,117.019,117.019,22.587,22.587,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.958406,3.484004,3.484004,3.484004,1.000000,0.000000,,,34.793
52,2.125000,556.973,72.915,556.973,72.915,556.973,72.915,vlm_single_identity_visible_mask,center,556.973,95.006,95.006,22.091,22.091,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.484004,3.484004,3.484004,3.484004,1.000000,0.000000,,,35.522
53,2.166667,559.050,53.673,559.050,53.673,559.050,53.673,vlm_single_identity_visible_mask,center,559.050,76.139,76.139,22.466,22.466,cotracker_bottom,,,stage2_contact_policy,3.517668,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.517668,3.517668,3.517668,3.517668,1.000000,0.000000,,,35.427
54,2.208333,561.506,38.168,561.506,38.168,561.506,38.168,vlm_single_identity_visible_mask,center,561.506,59.750,59.750,21.582,21.582,cotracker_bottom,,,stage2_contact_policy,3.861777,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.861777,3.861777,3.861777,3.861777,1.000000,0.000000,,,34.697
55,2.250000,563.082,29.114,563.082,29.114,563.082,29.114,vlm_single_identity_visible_mask,center,563.082,47.461,47.461,18.347,18.347,cotracker_bottom,,,stage2_contact_policy,3.865659,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.973237,3.865659,3.865659,3.865659,1.000000,0.000000,,,33.715
56,2.291667,564.941,25.486,564.941,25.486,564.941,25.486,vlm_single_identity_visible_mask,center,564.941,39.935,39.935,14.449,14.449,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.877968,3.877968,3.877968,3.877968,1.000000,0.000000,,,32.425
57,2.333333,566.964,24.233,566.964,24.233,566.964,24.233,vlm_single_identity_visible_mask,center,566.964,37.238,37.238,13.005,13.005,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.894228,3.877968,3.877968,3.877968,1.000000,0.000000,,,31.880
58,2.375000,568.894,25.588,568.894,25.588,568.894,25.588,vlm_single_identity_visible_mask,center,568.894,40.073,40.073,14.485,14.485,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.865659,3.877968,3.877968,3.877968,1.000000,0.000000,,,32.733
59,2.416667,570.700,29.478,570.700,29.478,570.700,29.478,vlm_single_identity_visible_mask,center,570.700,45.994,45.994,16.516,16.516,cotracker_bottom,,,stage2_contact_policy,3.865659,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.939209,3.865659,3.865659,3.865659,1.000000,0.000000,,,34.095
60,2.458333,573.072,37.410,573.072,37.410,573.072,37.410,vlm_single_identity_visible_mask,center,573.072,56.568,56.568,19.158,19.158,cotracker_bottom,,,stage2_contact_policy,3.861124,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.861124,3.861124,3.861124,3.861124,1.000000,0.000000,,,35.238
61,2.500000,573.912,52.658,573.912,52.658,573.912,52.658,vlm_single_identity_visible_mask,center,573.912,72.179,72.179,19.521,19.521,cotracker_bottom,,,stage2_contact_policy,3.805759,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.805759,3.805759,3.805759,3.805759,1.000000,0.000000,,,35.052
