frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
46,1.500000,653.850,838.156,653.772,838.159,653.772,838.159,center,center,664.000,869.007,869.000,30.851,30.848,bottom_percentile_95,620.059,852.080,human_nearest_mesh_topk,4.939120,4.956527,0.017407,0.877440,1.000000,0.620582,0.954351,0.877440,0.986842,0.087092,0.023000,5.000000,8.000000,left_foot,0.620582,600.227,857.431,6.659759,boundary_022,4.933448,4.858893,4.956136,4.939120,0.954351,0.007429,0.000000,0.000000
47,1.533333,653.747,838.145,653.850,838.147,653.850,838.147,center,center,664.000,868.998,869.000,30.853,30.851,bottom_percentile_95,620.087,852.166,human_nearest_mesh_topk,4.903082,4.881237,-0.021845,0.877199,0.654581,0.601334,0.870050,0.870050,0.982891,0.103697,0.012000,5.000000,8.000000,left_foot,0.601334,599.365,859.324,6.652146,boundary_022,4.856798,4.857152,4.873596,4.903082,0.870050,0.001790,0.000000,0.000000
48,1.566667,653.966,838.133,653.943,838.128,653.943,838.128,center,center,662.500,868.993,869.000,30.860,30.864,bottom_percentile_95,620.371,852.554,human_nearest_mesh_topk,4.829290,4.785825,-0.043465,0.872839,0.057330,0.618549,0.577909,0.577909,0.983674,0.100404,0.012000,5.000000,8.000000,left_foot,0.618549,601.501,861.938,6.629023,boundary_022,4.751324,4.834893,4.768915,4.829290,0.577909,0.007067,0.000000,0.000000
49,1.600000,653.962,838.107,653.960,838.119,653.960,838.119,center,center,662.500,868.712,869.000,30.605,30.594,bottom_percentile_95,620.492,852.501,human_nearest_mesh_topk,4.810300,4.811140,0.000840,0.872360,0.000000,0.604370,0.650043,0.650043,1.000000,0.026000,0.026000,5.000000,8.000000,left_foot,0.604370,601.169,861.151,6.647145,boundary_022,4.776874,4.973053,4.794763,4.810300,0.650043,0.287676,0.000000,0.000000
50,1.633333,654.115,838.037,651.587,842.380,651.587,842.380,center,center,662.500,873.355,869.000,35.318,30.974,bottom_percentile_95,620.375,852.570,human_nearest_mesh_topk,4.866285,4.924016,0.057731,0.873557,0.000000,0.638653,0.977480,0.873557,0.968392,0.164624,0.070000,5.000000,8.000000,left_foot,0.638653,602.778,861.651,6.657468,boundary_022,4.894406,5.103855,4.912091,4.866285,0.977480,4.354800,1.000000,0.000000
51,1.666667,653.866,838.142,661.289,825.194,661.289,825.194,center,center,655.500,857.118,868.000,18.976,31.923,bottom_percentile_95,622.026,855.519,human_nearest_mesh_topk,4.811632,4.777642,-0.033990,0.873639,0.000000,0.681857,0.499304,0.499304,0.943260,0.270233,1.105000,5.000000,8.000000,left_foot,0.681857,605.899,859.982,6.684716,boundary_023,4.750818,5.383040,4.766916,4.811632,0.499304,10.882229,1.000000,0.400000
52,1.700000,682.704,787.710,673.619,807.332,673.619,807.332,center,center,684.500,840.155,822.700,52.445,32.822,bottom_percentile_95,662.149,812.019,human_nearest_mesh_topk,4.929625,6.441662,1.512038,0.844677,0.000000,0.210490,0.000000,0.100000,0.896962,0.464786,0.935000,5.000000,8.000000,right_foot,0.210490,614.471,855.574,6.355902,boundary_024,5.847698,5.501188,5.868495,4.929625,0.000000,17.454648,0.284570,0.600000
53,1.733333,682.303,787.945,688.767,770.602,688.767,770.602,center,center,685.000,805.427,822.000,17.482,34.825,bottom_percentile_95,666.719,814.869,human_nearest_mesh_topk,5.446520,6.279671,0.833151,0.838225,0.000000,0.453983,0.258298,0.258298,0.896962,0.464786,0.935000,5.000000,8.000000,right_foot,0.453983,649.202,841.879,6.322678,boundary_024,5.849066,5.648315,5.869434,5.446520,0.258298,16.572648,1.000000,0.800000
54,1.766667,700.809,711.024,698.445,714.849,698.445,714.849,center,center,706.000,752.857,747.000,41.833,38.008,bottom_percentile_95,694.271,745.519,human_nearest_mesh_topk,5.645279,10.416148,4.770869,0.894043,0.000000,0.155956,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_foot,0.155956,680.551,819.277,6.280542,boundary_028,6.811098,5.664925,6.813632,5.645279,0.000000,5.857067,1.000000,0.600000
55,1.800000,711.371,631.171,710.882,635.694,710.882,635.694,center,center,724.000,676.734,673.000,45.563,41.039,bottom_percentile_95,719.524,602.344,human_nearest_mesh_topk,5.616996,36.536137,30.919140,0.819370,0.000000,0.526119,0.260921,0.260921,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.526119,721.334,573.871,6.870686,boundary_000,5.578354,5.874301,5.593856,5.616996,0.260921,3.733695,0.873166,0.400000
