frame,time,tx,ty,tz,radius_m,yaw,pitch,roll,scale,grasp_correction_m,grasp_audio_weight,grasp_active
145,6.000000,0.028982426,0.008264689,3.934466710,0.08,0.033198940,-0.013232672,-0.000432160,1.186232338,0.071682149,0.606531,1
146,6.041667,0.027327813,0.008559482,3.939272687,0.08,0.032706105,-0.012319254,-0.000413915,1.186327918,0.066650025,0.411112,1
147,6.083333,0.025672761,0.008875685,3.944157634,0.08,0.032159289,-0.010983188,-0.000181441,1.186697011,0.061531467,0.249352,1
148,6.125000,0.024143443,0.009252841,3.948762572,0.08,0.031577366,-0.009421990,0.000009920,1.189531444,0.056703269,0.135335,1
149,6.166667,0.022863476,0.009736953,3.952755434,0.08,0.031021608,-0.009107905,0.000011996,1.189541263,0.052515508,0.000000,1
150,6.208333,0.021967855,0.010364799,3.955856820,0.08,0.030503046,-0.009983233,-0.000145923,1.186538592,0.049274327,0.000000,1
151,6.250000,0.021473010,0.011161181,3.958083326,0.08,0.030012482,-0.010462232,-0.000084822,1.186248637,0.046975257,0.000000,1
152,6.291667,0.021314197,0.012091120,3.959577728,0.08,0.029595151,-0.010201026,-0.000006941,1.185848788,0.045477047,0.000000,1
153,6.333333,0.021395479,0.013055311,3.960553974,0.08,0.029264729,-0.009086728,0.000471664,1.186840979,0.044566175,0.000000,1
154,6.375000,0.021605807,0.013922623,3.961244905,0.08,0.028982806,-0.007019205,0.000428851,1.188902553,0.043995443,0.000000,1
155,6.416667,0.021805674,0.014558145,3.961848420,0.08,0.028755844,-0.004060906,0.000019682,1.217440787,0.043527489,0.000000,1
156,6.458333,0.021824368,0.014854079,3.962493527,0.08,0.028618786,-0.001532833,0.000060731,1.219558479,0.042968105,0.000000,1
157,6.500000,0.021584921,0.014774771,3.963289365,0.08,0.028620669,0.000677575,0.000129044,1.219321098,0.042181690,0.000000,1
158,6.541667,0.021101730,0.014344141,3.964305708,0.08,0.028732712,0.002726064,0.000162237,1.219576048,0.041113422,0.000000,1
159,6.583333,0.020432635,0.013632478,3.965559653,0.08,0.028855263,0.004542574,0.000201166,1.220217612,0.039781350,0.000000,1
160,6.625000,0.019644842,0.012728711,3.966980471,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.038288775,0.000000,1
161,6.666667,0.018943857,0.011728697,3.968463533,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.036764670,0.000000,1
162,6.708333,0.018260583,0.010766018,3.969915141,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.035309090,0.000000,1
163,6.750000,0.017626182,0.009938605,3.971258993,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.033985204,0.000000,1
164,6.791667,0.017067060,0.009320668,3.972443829,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.032823210,0.000000,1
165,6.833333,0.016603428,0.008943136,3.973459758,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.031816674,0.000000,1
166,6.875000,0.016243417,0.008811996,3.974319789,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.030941357,0.000000,1
167,6.916667,0.015976096,0.008904639,3.975082543,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.030137756,0.000000,1
168,6.958333,0.015777788,0.009186559,3.975798719,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.029357684,0.000000,1
169,7.000000,0.015622943,0.009605727,3.976504451,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.028573355,0.000000,1
170,7.041667,0.015483332,0.010097896,3.977223539,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.027770401,0.000000,1
171,7.083333,0.015338334,0.010602803,3.977968967,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.026944276,0.000000,1
172,7.125000,0.015187376,0.011071220,3.978736053,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.026109411,0.000000,1
173,7.166667,0.015037994,0.011465528,3.979522966,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025276989,0.000000,1
174,7.208333,0.014904324,0.011766117,3.980321708,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.024462495,0.000000,1
175,7.250000,0.014804576,0.011969078,3.981130858,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.023675495,0.000000,1
176,7.291667,0.014747697,0.012083721,3.981942466,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.022926297,0.000000,1
177,7.333333,0.014737527,0.012127362,3.982733567,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.022235547,0.000000,1
178,7.375000,0.014768441,0.012119173,3.983470750,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.021627741,0.000000,1
179,7.416667,0.014838435,0.012074955,3.984124603,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.021124923,0.000000,1
180,7.458333,0.014948164,0.012006977,3.984666046,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.020749174,0.000000,1
181,7.500000,0.015107493,0.011925602,3.985067291,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.020525174,0.000000,1
182,7.541667,0.015339552,0.011840042,3.985292174,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.020490894,0.000000,1
183,7.583333,0.015675086,0.011750209,3.985311349,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.020684831,0.000000,1
184,7.625000,0.016145215,0.011652257,3.985099363,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.021144008,0.000000,1
185,7.666667,0.016759310,0.011545253,3.984669093,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.021862929,0.135335,1
186,7.708333,0.017461446,0.011447456,3.984105527,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.022738130,0.249352,1
187,7.750000,0.018186057,0.011376143,3.983493124,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.023661325,0.411112,1
188,7.791667,0.018856140,0.011341660,3.982902119,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.024529579,0.606531,1
189,7.833333,0.019407133,0.011330197,3.982405645,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025249615,0.800737,1
190,7.875000,0.019794046,0.011334085,3.982075683,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025739472,0.945959,1
191,7.916667,0.019976622,0.011351489,3.981997153,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025909250,1.000000,1
192,7.958333,0.019919746,0.011395820,3.982232937,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025686552,0.945959,1
193,8.000000,0.019586631,0.011488864,3.982825172,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.025012522,0.800737,1
194,8.041667,0.018987191,0.011653966,3.983749591,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.023907590,0.606531,1
195,8.083333,0.018151783,0.011899450,3.984935414,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.022442631,0.411112,1
196,8.125000,0.017161014,0.012206778,3.986284926,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.020745389,0.249352,1
197,8.166667,0.016125977,0.012539717,3.987658810,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.018997450,0.135335,1
198,8.208333,0.015161797,0.012868052,3.988931994,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.017371270,0.000000,1
199,8.250000,0.014356197,0.013157135,3.990020547,0.08,0.028944550,0.004692164,0.000169432,1.219385151,0.015992304,0.000000,1
