frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
159,0,0,0,0,optimize,static_hold,0.001496,0.049519,0.100000,0.120000,0.120000,0,0,0,0,0.165643,0.000000
160,0,1,0,0,optimize,high_speed,0.257330,0.048386,0.300000,0.420000,0.340000,0,0,0,0,0.050645,0.000000
161,0,1,0,0,optimize,high_speed,0.257791,0.046358,0.300000,0.420000,0.340000,0,0,0,0,0.258320,0.000000
162,0,0,0,0,optimize,static_hold,0.005458,0.002389,0.100000,0.120000,0.120000,0,0,0,0,0.258562,0.000000
163,0,0,0,0,optimize,static_hold,0.003842,0.002602,0.100000,0.120000,0.120000,0,0,0,0,0.259561,0.000000
164,0,0,0,0,optimize,static_hold,0.005615,0.002794,0.100000,0.120000,0.120000,0,0,0,0,0.260155,0.000000
165,0,0,0,0,optimize,free_motion,0.145286,0.003403,0.180000,0.220000,0.220000,0,0,0,0,0.119464,0.000000
166,0,0,0,0,optimize,free_motion,0.152493,0.034036,0.180000,0.220000,0.220000,0,0,0,0,0.030127,0.000000
167,0,0,0,0,optimize,free_motion,0.108176,0.122697,0.180000,0.220000,0.220000,0,0,0,0,0.018557,0.000000
168,0,1,0,0,optimize,high_speed,0.266930,0.125834,0.300000,0.420000,0.340000,0,0,0,0,0.134800,0.000000
169,0,0,0,0,optimize,uniform_motion,0.036067,0.125690,0.180000,0.220000,0.220000,0,0,0,0,0.038495,0.000000
170,0,0,0,0,optimize,free_motion,0.089251,0.039455,0.180000,0.220000,0.220000,0,0,0,0,0.102352,0.000000
171,0,0,0,0,optimize,low_speed,0.017657,0.038846,0.100000,0.120000,0.120000,0,0,0,0,0.082065,0.000000
172,0,0,0,0,optimize,uniform_motion,0.050274,0.038222,0.180000,0.220000,0.220000,0,0,0,0,0.052732,0.000000
173,0,1,0,0,optimize,free_motion,0.191265,0.037857,0.180000,0.220000,0.220000,0,0,0,0,0.147695,0.000000
174,0,0,0,0,optimize,free_motion,0.121783,0.037287,0.180000,0.220000,0.220000,0,0,0,0,0.236863,0.000000
